message,sentiment,is_sarcastic
Ohhh sorry galat jageh bhej diya,Neutral,FALSE
Chal chal 😂,Neutral,FALSE
Where are u guys 🧐👀,Neutral,FALSE
Mere room mai hai mai aur Pratiksha ....aaja jaldi,Neutral,FALSE
Chal ab mereko dekh ne de,Neutral,FALSE
Train mai download hi kar rahi thi,Neutral,FALSE
Haan to P&C se total 3 combination bante haii...😅,Neutral,FALSE
dil tham ke bedhiye bhaiyo and baheno..,Neutral,FALSE
ye to mazak thaa,Neutral,FALSE
okayy okayy.. just check kar trahi thi ki online hai na log..,Neutral,FALSE
okay.. finally.. result aa raha haii,Positive,FALSE
aree aree wo perfect match pe matt jao.. wo to copilot ne apne se likh diya. and mene bhi change nahi kara🥲😁,Neutral,TRUE
Kab hai waise ye?,Neutral,FALSE
Wo to nahi pata . Mene padha but kahi dates likhi hi nahi haii..,Neutral,FALSE
Change karna ho toh i can use my other email id ig,Neutral,FALSE
Course pe registration kar lena sab .,Neutral,FALSE
That I don't know,Neutral,FALSE
Ha. Sahi pakde haii😂😂,Positive,FALSE
Yaaar tu pagal ho gyi haii kya,Negative,FALSE
Tu theek toh hai na,Neutral,FALSE
Haaa bohot jaldi aagyi,Neutral,TRUE
Mujhe tumse pyaar ho gya hai om❣️❣️❣️,Positive,FALSE
Haaa woh bas tujhse hi pyaar karta hai na 😒😒😒,Negative,TRUE
Papa mere taraf se gai ko 1 kela khila do,Neutral,FALSE
Kitchen ki barbaadi mat karna,Negative,FALSE
"Bahut badhiya,Great💪💪👏👏👏👏",Positive,FALSE
😭😭fees mat bhara karo meri plsssss🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼,Negative,FALSE
Kaam ke talaash me khud ki bhi sudh nahi,Negative,TRUE
ये क्या चिन्ह है?,Neutral,FALSE
Chinha nhi emoji aur yeh emoji gaali dene ka hai,Neutral,FALSE
"गलत बात है,कुछ खाया पिया करो।",Positive,FALSE
Khane pine ki zarurat nahi hai,Negative,TRUE
Kyuki bhai mai isme zyada acchi lag rahi hu,Positive,FALSE
This is a man world is looking for💫,Neutral,TRUE
To laugh at how brainless he is 😂😂😂,Negative,TRUE
Jalwaa hai bhai mera,Positive,FALSE
Any super intelligent person only can take the risk with you on highway 😜,Negative,TRUE
Mai anjali ki behen patanjali hu @⁨Unknown user⁩,Neutral,FALSE
Okk considering I am living in a family of idiots I'll go by myself then,Negative,TRUE
No one welcomed me😞🥹😞🤬😡,Negative,FALSE
Ye kaam 1st sem me kar chuki hu mai bohot 😂,Positive,FALSE
Bhaiii ❤️‍🔥 greatest comeback to point in the history ❤️‍🔥❤️‍🔥🔥🔥,Positive,FALSE
Aise manipulative cheeze mai hi karti hu :),Negative,TRUE
Meri mummy teri mummy ko call ki,Neutral,FALSE
Aunty ko bolna zyada khana na pack kare,Neutral,FALSE
Subject hi to pach rahi hu,Negative,TRUE
Chal chal nikal🥴,Negative,FALSE
im not gonna think about it tho hopefully 😭,Neutral,FALSE
usse shayad long weekday chahiye tha (long weekend bahut door hai) 😭😂,Neutral,FALSE
Connector mere pass hai,Neutral,FALSE
Chahiye kya abhi tujhe,Neutral,FALSE
Aa gaye hum room pe bhi,Neutral,FALSE
Bhai ye kya chal raa h Har roz tt change 🥲,Negative,FALSE
kal ka bata dena,Neutral,FALSE
Kyu tension le raha hai,Neutral,FALSE
Uski attendance 100% se kam ho jaayegi,Neutral,TRUE
"Abe sone ka smj aaye na phir , end time pe 8:30 hogya toh🥲",Neutral,FALSE
Bhai 2 min ruk jaya kro type krne me time lgta h 🥲,Negative,FALSE
Never thought I would sleep in an economics class,Neutral,TRUE
"Bro should stawph teaching, join bjp atp and promote Vimal there",Negative,TRUE
Inglisss bhi Modi jesi haii🤓🤓,Negative,TRUE
Itna formal kyu bol raha hai 😂,Neutral,FALSE
Dinesh: tumne heuristic underestimate kiya hai... Isiliye wrong,Negative,FALSE
Bhai marks ka i dont care but argument toh wrong mat do 😂,Negative,FALSE
g=5 he toh tumne h ka sum= 4 kyu liya hai,Neutral,FALSE
Victim blaming is what indians are good at doing 👄💅,Negative,TRUE
Aadhe ghante tak wahi boli... Thode se bewakoof ho kya ashutosh bhai,Negative,FALSE
Ye baat sir ko bolni chajye thi n bhai,Neutral,FALSE
Aaj bohot jaldi aa gaye,Negative,TRUE
It's too hot outside,Negative,FALSE
Tutorial 2 ke questions bhejo....,Neutral,FALSE
Surveying ke,Neutral,FALSE
Tutorial hi nhi diya ki questions hi nhi hai tumhare paas??,Neutral,FALSE
Aacha fir thik hai,Positive,FALSE
Bhai Teri aankho ke paani ke wajah se hi baarish ho rhi hai 😂,Positive,TRUE
Isliye meet ka time badalna pada,Neutral,FALSE
😂😂Arre,Neutral,FALSE
Print kon kara rha h,Neutral,FALSE
Class nhi hai exam hai 5:30 pm tk...,Neutral,FALSE
Tu sun ki tarah chamak rha tha isliye aankhe band kar li,Negative,TRUE
Lanka laga de😂,Neutral,FALSE
Nahi likha jayda yaar,Negative,FALSE
Nhi aayenge,Negative,FALSE
Ab jo bhi aa rahe hai laptop lekar aana,Neutral,FALSE
Agar village visit me log bohot Kam jaate hai ya postponed hoti hai toh,Neutral,FALSE
Bohot jaldi nahi ho jayega,Neutral,FALSE
Add one more option,Neutral,FALSE
Kya yh celebration deserve krta hai,Neutral,FALSE
Abe sab ajana likhte hai,Neutral,FALSE
Koi saath chal rha ho to main jane ko ready hu,Neutral,FALSE
Saaf safai rakhna,Neutral,FALSE
Makasad pura Krna h toh ek bhi clue bachna nhi chahiye 🙂🙂😂,Neutral,TRUE
Nahi ana chahiye,Negative,FALSE
Apka toh bahut zor se yes hein,Neutral,TRUE
Tujhse na ho payega chorde tu,Negative,FALSE
Ok sir,Neutral,FALSE
"Shuruwat hi cancellation se, kya baat hai😂",Negative,TRUE
"Bhai sahab ko yahi aata hai, kaam toh ho nhi rha inse",Negative,TRUE
Agle tenure mai video se hi kaam chalayenge,Negative,TRUE
Yeh sab kya chal raha hai,Neutral,FALSE
I said shree ram saw not me,Neutral,FALSE
Phir kaha aise seniors milenge jinki sledging karnw mein maza ata hein😂,Positive,FALSE
Mujhe nahi marenge pyaare seniors hein,Positive,TRUE
Request hein but compulsory hein,Neutral,TRUE
Waaaah kya jagah dhundi hai,Positive,FALSE
yeh jagah aur idhar ke log we remember,Neutral,TRUE
Sir aap ni dikh rhe....kidhr ho???,Neutral,FALSE
Amusement park me hun ... aagy bs,Positive,FALSE
Bring your personal laptop for the test,Neutral,FALSE
It is for TODAY only,Neutral,FALSE
Congratulations 👏,Positive,FALSE
To all the girls. Its a great opportunity. Dont miss this please,Positive,FALSE
"Only 14 girls from your batch are interested in Nvidia , may i know the reason why others weren't?",Neutral,FALSE
Mast room jaa ke soja 🥰,Positive,FALSE
2 baar bol chuke bhai lekin vo unka natural state hai vapis usi me aajate hai 😭,Negative,TRUE
Ye poll shuru se itna balanced kaise hai 💀,Neutral,TRUE
There is no OOPs class this week right ?,Neutral,FALSE
and we will focus on only software wli problems,Neutral,FALSE
I am personally more attracted towards smart education,Positive,FALSE
who wants to be team leader?,Neutral,FALSE
Kuch bhi rakh de chatgpt karke.. waise bhi meri choice bahot buri hoti hai🥲,Negative,TRUE
Aree Aree bhai meri bhi esi hi choice h,Neutral,FALSE
Haan achchaa haiii,Positive,FALSE
ohh phir to achha h,Positive,FALSE
abhi nhi jaa rhe birthday m ?,Neutral,FALSE
Nahi nahi.. cancel ho gaya,Negative,FALSE
sb free honge n ?,Neutral,FALSE
Everybody come fast!!!,Positive,FALSE
Han to bandh kar do .,Neutral,FALSE
Muje to nahi aana,Negative,FALSE
Haan me bhi room ke bahar hi hu😭😭,Neutral,FALSE
Abhi banate hai ppt,Neutral,FALSE
but still if you guys wanna know,Neutral,FALSE
Achcha lg raha hai,Positive,FALSE
Ohh haa sahi haii,Positive,FALSE
bki mujhe to mstt lg rhi h 🥰,Positive,FALSE
"ye aur kr do pls....mere m kuch dikkat h syd, kbse try kr rhi hu, nhi upload ho rha",Negative,FALSE
kl hi h presentation in morning....7 teams h apni theme m,Neutral,FALSE
hr panel k diff judges h,Neutral,FALSE
I am free anytime today,Neutral,FALSE
aree yrr sorry,Negative,FALSE
i was sleeping without alarm,Neutral,FALSE
Koi nahi aaja,Neutral,FALSE
ha bss ayi 2 min,Neutral,FALSE
ek last brr practice lr lete h,Neutral,FALSE
and sb saath m photo bhi le lete h 😁,Positive,FALSE
practice kre ek brr ?,Neutral,FALSE
m ati hu 2 min m udhr,Neutral,FALSE
mess m practice krenge ?,Neutral,FALSE
tum log krlo apna breakfast,Neutral,FALSE
konse mess m ho ?,Neutral,FALSE
We don't use insta🙃🙃,Neutral,TRUE
Ho gya apna 🥳🥳,Positive,FALSE
yrr itni khushi kbhi nhi hui aaj tk 🥹🎉🎉,Positive,FALSE
pta nhi yrr... puchte h kisi se,Neutral,FALSE
form submitted 👍,Neutral,FALSE
They were telling we can do little changes in ppt,Neutral,FALSE
and bhut khali khali ppt lg rhi h apni,Negative,FALSE
Rukk dhundte haii,Neutral,FALSE
Okkkkayyy... that's why may be we need to change..,Neutral,FALSE
Meko nahi dikh raha🥲🥲,Negative,FALSE
Aapke irade thik nahi lag rahe🌚🌚,Neutral,TRUE
Same goes for you,Neutral,TRUE
Hamre irade to bahot nek hai..🌝,Neutral,TRUE
Wo to jo 748 m rehta hai unko pata hi hai,Neutral,TRUE
to confirm btao...tum log jaa rhe ho kl ?,Neutral,FALSE
Sorry mai thoda bahar jaati hu ......,Neutral,FALSE
Kaha?,Neutral,FALSE
Marne,Neutral,TRUE
Nahi sorry mai bahaar jaake marne wali hu toh....,Neutral,TRUE
Toh chalna padega ready hoke pura,Neutral,FALSE
Yeh ghar ka grp nhi hai sih ka hai,Neutral,FALSE
Itni bhi khrab english nhi ki nsm bhi galat likhu🥱,Neutral,TRUE
Ye bat gharki he ki ni ata,Neutral,TRUE
"Kya bol rahe ho, samaj nahi aa raha hai",Negative,FALSE
"sunoo.... modification btao kya kya krna h, but jyada mt btana....Thak gye bnate bnate ise",Negative,FALSE
Bhai kya banai hai,Positive,FALSE
Aur kuch zaroori nhi hai,Neutral,FALSE
Bas pray ki ye select na ho,Negative,FALSE
ho jani chiye re...tumhari wli bhejo tb pray krungi,Neutral,TRUE
Where were you till now?,Neutral,FALSE
Kaha mar gayi thi,Neutral, False
I'm getting late for the class yaar,Negative,FALSE
Yaar mai bhi kya karne lag gayi thi 😩,Neutral,FALSE
"Ha ha, as If I have done phd in this subject",Neutral,TRUE
I Don't know anything yaar,Neutral,FALSE
"Are mai sundar hi hoon, bacchpan se",Positive,FALSE
Gum toh hai mere pass,Neutral,FALSE
Bhagwannnn!,Neutral,FALSE
Ye kand sunne ke baad toh meri mummy bohot pyaar karegi bhai mujhe,Negative,TRUE
It's pouring cats and dogs outside,Negative,FALSE
Me? Mad? I'm the happiest I've ever been,Positive,TRUE
Thanks for helping me out there,Positive,FALSE
"Gee, thanks for helping me out there",Negative,TRUE
She's going to cancel the exam because you haven't studied,Neutral,TRUE
Jaldi bahar aa,Neutral,FALSE
That is such a pretty skirt 🥰,Positive,FALSE
Nahi mai toh africa se bol rahi hu,Neutral,TRUE
"Sorry, wo kal bhul gayi thi send karna",Neutral,FALSE
acha exam ke baad thodi der baad baat karte hain 😂,Neutral,FALSE
yaar phir se kaam fail ho gaya 😅,Negative,FALSE
ofcourse you're right. How could I have forgotten you're always right?,Negative,TRUE
Congratulations 👏 you have managed to make something simple complicated,Negative,TRUE
I love how confidently you say things you have absolutely no idea about.,Negative,TRUE
"I’d agree with you, but then we’d both be wrong.",Negative,TRUE
"Koi nahi, galti sabse hoti hai… tumse thodi zyada hoti hai",Negative,TRUE
"Haan bhai, tumhari baat sunke meri life set ho gayi. Thanks.",Negative,TRUE
Tumhara logic dekh ke calculator bhi confuse ho gaya.,Negative,TRUE
Accha? Tumhe ye ab yaad aaya? Wah kya memory hai!,Negative,TRUE
Aaj toh meri kismat bhi mujhse competition kar rahi hai 😭,Negative,TRUE
Tu itna jaldi reply karta hai ki notification dekh ke surprise ho jaati hu 😂,Negative,TRUE
Mujhe lagta hai aaj main bina coffee ke bhi survive kar lungi ☕😌,Positive,FALSE
"Wah, kya memory hai tumhari, birthday bhi yaad nahi raha 😭👏",Negative,TRUE
Bhai ye lecture khatam hone ka naam hi nahi le raha 😩,Negative,FALSE
"Haan bilkul, tumhari advice follow karke toh meri life set ho gayi 🙂",Negative,TRUE
"Aaj mummy ne mere favourite khana banaya hain, mood ban gaya ❤️",Positive,FALSE
Tumse help maangna matlab apna kaam double karwana hai 😂,Negative,TRUE
"Kal ka test easy tha, mujhe toh kaafi confidence aa gaya 😊",Positive,FALSE
"Kya zabardast idea tha tumhara, ab poori raat yehi fix karna padega 😑",Negative,TRUE
"Yaar aaj weather itna mast hai, bas bahar jaane ka mann kar raha hai 🌧️❤️",Positive,FALSE
Tumhari punctuality dekh ke clock bhi confuse ho jaati hogi 😂,Negative,TRUE
Mujhe ye movie honestly kaafi interesting lagi 🎬😊,Positive,FALSE
"Haan haan, tum bas ek minute mein ready ho jao",Neutral,TRUE
Aaj presentation ke baad finally thoda relaxed feel ho raha hai 😮‍💨,Positive,FALSE
"Wah bhai, kya planning hai, last moment pe hi sab yaad aata hai tumhe 👏🙂",Negative,TRUE
"Meri battery 2% hai aur charger ghar pe reh gaya, perfect situation hai 😭",Negative,TRUE
"Tune jo notes bheje na, usse mera kaam actually bahut easy ho gaya ❤️",Positive,FALSE
"Great, internet bhi abhi hi jaana tha jab assignment submit karna hai 🙂",Negative,TRUE
Aaj friends ke saath itna hasi ki cheeks hurt kar rahe hain 😂❤️,Positive,FALSE
main toh tumhe jaanti hi nahi 😌,Negative,TRUE
Bhikh mangne ka tarika thoda kezual haii 😋,Negative,TRUE
Jitne ho sake jisse bhi pucho kuch bhi bhejo bas bhejo kiska bf ban raha tha usse baat karo apne aap sentence mil jayenge💀🌚,Neutral,TRUE
Tab to horny sentences ki barishhh 🌚,Neutral,TRUE
Improper ho sakte hai par sab nhi,Neutral,FALSE
chalo ladaai karte hai,Neutral,TRUE
usse proper sarcastic sentence milenge😏,Positive,TRUE
Ha to pata hai,Neutral,FALSE
Ohh haaa kal toh Saturday haii🧐🧐🤪🤪,Positive,TRUE
Mera tv kharab ho gaya 😭,Negative,FALSE
Sehen nahi hoga mujhse kuchh 😭😭,Negative,FALSE
woh mood ke hisaab se marks deti hai fs,Negative,TRUE
Hopefully usne diye ho marks🙃,Neutral,TRUE
Mene to nahi padhe..,Neutral,FALSE
Tumhe koi subject ke marks diye kya?,Neutral,FALSE
Chal chal nikal🥴,Negative,FALSE
Do ko peeche kyu choda,Negative,TRUE
Wo bhi bol de,Neutral,FALSE
Ha project ka kya karna hai,Neutral,FALSE
To project ka kab ka mahurat nikale,Neutral,TRUE
Start karne ka,Neutral,FALSE
Ichcha hi nahi hai muje gwoc ke project ki..,Negative,FALSE
Waise usme banana kya hai?,Neutral,FALSE
Nahi mai kar lugi aaj,Positive,FALSE
Wo meet m aana thoda mushkil hai,Negative,FALSE
Zaroor aaungi par abhi yeh sir pe depend karta hai,Neutral,FALSE
Like koi result nahi dikha Raha hai,Negative,FALSE
Meri class chal rhi hai,Neutral,FALSE
Tera wo print out nikaal liya tune hall ticket ka?,Neutral,FALSE
Arey toh unko jaake bolo toh sahi jaldi banaye,Neutral,FALSE
Help karwa do unki,Neutral,FALSE
Kaam wali hun kya?,Negative,TRUE
Kitne dur ho?,Neutral,FALSE
Nhi Maine khana kha liya hai,Positive,FALSE
Yaar kal ka jo payment tha woh bhi bhej dena mai bhul gyi kitna dena tha,Neutral,FALSE
Yaaar sunn na woh mera 2 cartons and mattress tha usko please pack karke rakh dena na ...🙏🏻🙏🏻🙏🏻,Neutral,FALSE
Ha ha rakh dungi,Positive,FALSE
Kaisa gaya,Neutral,FALSE
Kitna ghatiya tha yaarr,Negative,FALSE
Haaaa bas abhi uti hu,Neutral,FALSE
Thoda time lagega,Neutral,FALSE
So gayi kya?,Neutral,FALSE
Kabke abhi uthi hu,Neutral,FALSE
M aajau mera bhi wo dena hai,Neutral,FALSE
Baki jo hai wo tujhe dena hai,Neutral,FALSE
Tu mujhe pay karegi i mean🤣,Positive,TRUE
Haaa dono baat ka same meaning hai,Neutral,TRUE
Kal wala payment pratiksha ne kiya tha,Neutral,FALSE
Meri abhi CDC ki meet hai m aati hu aadhe ghante m,Neutral,FALSE
Project karooo yaaarrrrr,Neutral,FALSE
Jaldi karo pura baki hai😭😅,Negative,FALSE
Class khatam ho gayi?,Neutral,FALSE
Bas aise hi kiya,Neutral,FALSE
Kyu tumhara actor nahi hai sikhane wala.. jo muje msg kar rahi hai?,Neutral,TRUE
M narrator hu,Neutral,FALSE
Wo hai don't worry,Positive,FALSE
Aree toh baatein karo usse. Ya usko dekho,Neutral,TRUE
"Haan haan tum bas plan banao, jaana toh hai hi nahi 😂",Negative,TRUE
Aaj mess ka khana surprisingly accha tha 😭❤️,Positive,FALSE
"Bhai meri kismat bhi na, jab zaroorat hoti hai tabhi net band ho jata hai 🙂",Negative,TRUE
Kal subah jaldi uthna hai warna phir attendance gayi 🥲,Negative,FALSE
"Wah bhai kya timing hai, exam ke ek din pehle notes mil rahe hain 👏😂",Negative,TRUE
"Tu aa ja pehle, baaki ka kaam baad mein dekh lenge",Positive,FALSE
"Mujhe laga aaj kuch productive karungi, phir bed ne bula liya 😭",Negative,TRUE
"Arey chill kar, itna bhi serious scene nahi hai 😂",Positive,FALSE
Tumhari advice follow karke ab toh situation aur interesting ho gayi 💀,Negative,TRUE
Aaj weather itna mast hai ki room se bahar jaane ka mann kar raha hai 🌤️,Positive,FALSE
"Haan bhai, bilkul time pe aaya hai tu… sirf 40 minute late 😂",Negative,TRUE
Mujhe bas ek baar ye assignment khatam karna hai phir chain milega 😭,Negative,FALSE
"Kya zabardast idea diya hai, ab bas koi isse implement bhi kar de 😭👏",Neutral,TRUE
"Sorry yaar, phone silent pe tha isliye reply late ho gaya 🥲",Neutral,FALSE
"Main toh bas five minute ke liye leti thi, seedha do ghante baad uthi 😭",Negative,FALSE
"Wah, tumhari memory toh kamaal ki hai, kal ki baat aaj yaad aa gayi 😂",Negative,TRUE
Aaj library chalna hai kya? Mereko bhi thoda padhna hai 📚,Neutral,FALSE
"Bhai ye group mein 200 messages kisne kar diye, ek ghante mein hi 😭",Negative,FALSE
"Haan bilkul, tumhare bina toh ye kaam impossible hi tha 😌😂",Neutral,TRUE
"Mujhe laga meeting short hogi, yaha toh puri shaam nikal gayi 🥲",Negative,FALSE
"Tum log enjoy karo, main yaha assignment ke saath relationship mein hu 😭",Negative,TRUE
Acha toh ab yaad aaya ki kal submission hai? Very nice 😂,Negative,TRUE
Bas ek coffee mil jaye phir shayad dimaag kaam karne lage ☕😭,Neutral,FALSE
"Koi bata do ye form submit kaha karna hai, mujhe kuch samajh nahi aa raha 😭",Negative,FALSE
"Wahhh, aaj toh tumne bina bole kaam kar diya, proud of you 😂👏",Positive,TRUE
Kal movie dekhne chale? Kaafi time ho gaya sab saath nahi mile,Positive,FALSE
"Mereko laga traffic kam hoga, Google Maps ne bhi dhokha de diya 🙂",Negative,TRUE
"Haan haan tum padhai karo, main tumhare liye attendance laga deti hu 😂",Positive,TRUE
"Aaj ka din bas somehow nikal jaye, kal se fresh start karenge 🥲",Negative,FALSE
"Finally kaam ho gaya yaarrr, ab jaake sukoon mila 😭🎉",Positive,FALSE
Aaj ka din ekdum mast tha 😍,Positive,FALSE
Yaar exam itna tough tha 😭,Negative,FALSE
"Wah bhai, kya timing hai tumhari 😂",Neutral,TRUE
Mujhe 5 minute bolke 2 ghante laga diye 🙃,Negative,TRUE
Kal movie dekhne chale? 🍿,Neutral,FALSE
"Haan haan, tum toh bahut time ke punctual ho 😂",Negative,TRUE
Aaj mummy ne meri favourite sabzi banayi ❤️,Positive,FALSE
"Kya amazing internet hai, ek message bhejne mein 10 min lag rahe hain 🙂",Negative,TRUE
"Bhai result aa gaya, pass ho gaya 😭❤️",Positive,FALSE
Tumhare bina toh group bilkul shaant rehta hai 😂,Neutral,TRUE
Aaj college mein bahut kaam tha yaar 😩,Negative,FALSE
Finally assignment submit ho gaya 🥳,Positive,FALSE
Yaar mera plan last moment pe cancel ho gaya 😭,Negative,FALSE
Bhai kitni baar same cheez samjhau 😑,Negative,FALSE
"Wah, kya zabardast help ki tumne meri 😂",Positive,TRUE
"Kal milte hain, aaj thoda busy hu yaar 😅",Neutral,FALSE
Kya mast day tha aaj 😍😂❤️,Positive,FALSE
"Hello, Tumhari team bn gyi ?",Neutral,FALSE
bhut dino baad yaad kiya,Neutral,FALSE
have u completed the dbms assignment?,Neutral,FALSE
"Mummy, aaj pta h Mne new shoes buy kiye h🙌",Positive,FALSE
Congo bro 🎊🎉,Positive,FALSE
Time kyu lagega,Neutral,FALSE
Yr maine cap ghumadi😭,Negative,FALSE
Brahm kamal saal me ek baar khilta hai,Neutral,FALSE
Nhi aaj attendance hui,Neutral,FALSE
Sun n structural analysis k tutorial lekr aama,Neutral,FALSE
No one can use if you are useless,Neutral,FALSE
If your enemy can predict your next move then don't move😌,Neutral,FALSE
You can't guess my strategy cause i don't have one🙂‍↔️,Neutral,TRUE
"bhai, tu toh world's best driver hai, roz gaadi thokta hai",Negative,TRUE
Mai ghr ja rhi hu🥹,Neutral,FALSE
College mai attu zaattu logo ke sath mai nhi ghumti 😏,Negative,False
Khana khaya lekin mess ka ghr ka nhi😁,Neutral,FALSE
All the best aapke project ke liye ee💌🫰🏻👍🏻,Positive,FALSE
Iam going to my homeeee,Positive,FALSE
All the best guyzzz,Positive,FALSE
Fallen to rise,Positive,FALSE
Happy Independence Day,Positive,FALSE
Kya mess mai khana bhi kathe ho tum log?,Neutral,FALSE
Arey bhai thu tho topper hai bhol ke mere exams ke preparation karaab kar diya usne,Negative,TRUE
Ye sab kyu karna hai bhaii😭mereko ghar jana hai😭😭,Negative,FALSE
Ma'am is so friendly with students that she forgot she's in lab and cracking jokes and lol😂,Positive,FALSE
"Google me forms ke neeche ""never submit passwords through Google forms"" mai kaisa dikh raha hai aapko😒",Neutral,FALSE
are badshaah rao ko group se hata na bakvaas kar raha hai,Negative,FALSE
Hastin ko wapas laaya jaye,Neutral,FALSE
Mene to hastin ko admin banaya tha bhai nikal deta,Neutral,FALSE
Ye bsdk pehle aake nai bol payi jab sab khatam ho gya tab bol rha hai,Negative,FALSE
are tune profile pic kyu rakhi hai bhagvaan ki?,Neutral,FALSE
Bhai assignment submit kar diya finally 🎉,Positive,FALSE
"Yaar ye professor ka attendance system dekho, kitna accurate hai 😂",Negative,TRUE
Mess ka khana aaj bohot acha tha actually,Positive,FALSE
Arrey yaar mera phone charge hi nahi ho rha 😩,Negative,FALSE
Hostel mein wifi ki speed dekhi hai? Ferrari se bhi tez 🙃,Negative,TRUE
Bro kal ka exam postpone ho gaya thank god,Positive,FALSE
Tumhare notes kitne organized hain yaar 😌,Positive, FALSE
Library mein jagah mil gayi miracle!,Positive,TRUE
Arre canteen mein queue dekho kitni choti hai aaj 😏,Negative,TRUE
Yaar project complete kar liya on time ❤️,Positive,FALSE
Delhi mein pollution level normal hai aaj 🤡,Negative,TRUE
Bhai tu genuinely bohot smart hai 🥰,Positive,FALSE
Room cleaning ka fine bhara hai maine 😭,Negative,FALSE
Warden uncle ki timing sense bilkul perfect hai 😂,Negative,TRUE
Mummy ka call aaya khana khane ko bol rha tha,Neutral,FALSE
Economics ka lecture attend kiya aaj full 2 ghante,Neutral,FALSE
Bhai birthday treat de rha hai pizza party 🎉,Positive,FALSE
Shopkeeper ne kitni reasonable price di thi 🥲,Negative,TRUE
Auto wale bhaiya ne meter on kiya wow 😭💀,Negative,TRUE
Yaar assignment extension mil gaya professor se,Positive,FALSE
Group project mein sabne equally contribute kiya hai 😌,Negative,TRUE
Kal early morning class hai 8 baje 😭,Negative,FALSE
Bhai tera dance performance bohot acha tha 👏,Positive,FALSE
Placement cell ki guidance dekhi hai kitni helpful hai 🙃,Negative,TRUE
Mess uncle ne extra sabzi de di aaj,Positive,FALSE
Yaar tuition fees bharna pada again 😩,Negative,FALSE
Weekend plans cancel ho gaye rain ki wajah se,Negative,FALSE
Bro ye new cafe ka coffee bohot tasty hai,Positive,FALSE
Internet banking down hai exactly jab zaroorat thi 😂,Negative,TRUE
Chemistry lab ka experiment successful rha finally,Positive,FALSE
College ka AC system kitna efficient hai summer mein 🔥,Negative,TRUE
Yaar movie tickets book kar li aaj wali show ki,Neutral,FALSE
Professor ne exactly on time class start kiya 😏,Positive,FALSE
Bhai help kar diya project mein thanks yaar ❤️,Positive,FALSE
Laundry wala exactly time pe kapde de diya 🤡,Negative,TRUE
Metro mein seat mil gayi rush hour mein,Positive,FALSE
Canteen ka uncle ne bill mein discount de diya,Positive,FALSE
Yaar phone ki battery life dekho kitni amazing hai 😌,Negative,TRUE
Roommate ne room saaf kar diya without asking,Positive,FALSE
College ka placement record iss saal dekho 🙃,Negative,TRUE
Bhai concert ka ticket mil gaya black mein,Positive,FALSE
Professor ka feedback bohot constructive tha assignment pe,Positive,FALSE
ATM mein cash available tha month end mein miracle 😂,Negative,TRUE
Yaar group study session productive rha bohot,Positive,FALSE
Hostel ka security guard kitna alert rehta hai raat mein 💀,Negative,TRUE
Mom ne ghar se food parcel bhej diya ❤️,Positive,FALSE
Bro exam results aa gaye sab pass ho gaye,Positive,FALSE
College ka infrastructure dekho kitna world class hai 🥲,Negative,TRUE
