message,actual_sentiment,predicted_sentiment,sentiment_confidence,actual_sarcasm
I love how confidently you say things you have absolutely no idea about.,Negative,Positive,0.9969,True
Accha? Tumhe ye ab yaad aaya? Wah kya memory hai!,Negative,Positive,0.9926,True
Tu itna jaldi reply karta hai ki notification dekh ke surprise ho jaati hu 😂,Positive,Negative,0.5265,True
"Wah, kya memory hai tumhari, birthday bhi yaad nahi raha 😭👏",Negative,Positive,0.9977,True
"Haan bilkul, tumhari advice follow karke toh meri life set ho gayi 🙂",Negative,Positive,0.998,True
"Kya zabardast idea tha tumhara, ab poori raat yehi fix karna padega 😑",Negative,Positive,0.9959,True
"Haan haan, tum bas ek minute mein ready ho jao",Neutral,Positive,0.9226,True
"Wah bhai, kya planning hai, last moment pe hi sab yaad aata hai tumhe 👏🙂",Negative,Positive,0.9958,True
"Meri battery 2% hai aur charger ghar pe reh gaya, perfect situation hai 😭",Negative,Positive,0.7402,True
"Great, internet bhi abhi hi jaana tha jab assignment submit karna hai 🙂",Negative,Positive,0.9971,True
Aaj friends ke saath itna hasi ki cheeks hurt kar rahe hain 😂❤️,Positive,Negative,0.8962,False
main toh tumhe jaanti hi nahi 😌,Negative,Positive,0.9767,True
Bhikh mangne ka tarika thoda kezual haii 😋,Negative,Positive,0.9972,True
Jitne ho sake jisse bhi pucho kuch bhi bhejo bas bhejo kiska bf ban raha tha usse baat karo apne aap sentence mil jayenge💀🌚,Neutral,Negative,0.9924,True
Tab to horny sentences ki barishhh 🌚,Neutral,Negative,0.98,True
Improper ho sakte hai par sab nhi,Neutral,Negative,0.9326,False
chalo ladaai karte hai,Neutral,Negative,0.9839,True
Ha to pata hai,Neutral,Positive,0.6331,False
Hopefully usne diye ho marks🙃,Neutral,Negative,0.9731,True
Mene to nahi padhe..,Neutral,Negative,0.9917,False
Chal chal nikal🥴,Negative,Neutral,0.7424,False
Do ko peeche kyu choda,Negative,Neutral,0.9886,True
Wo bhi bol de,Neutral,Negative,0.9722,False
Ha project ka kya karna hai,Neutral,Negative,0.536,False
Nahi mai kar lugi aaj,Positive,Negative,0.9902,False
Zaroor aaungi par abhi yeh sir pe depend karta hai,Neutral,Negative,0.9551,False
Meri class chal rhi hai,Neutral,Positive,0.9897,False
Arey toh unko jaake bolo toh sahi jaldi banaye,Neutral,Positive,0.5742,False
Kaam wali hun kya?,Negative,Neutral,0.6951,True
Kitne dur ho?,Neutral,Negative,0.6294,False
Nhi Maine khana kha liya hai,Positive,Neutral,0.9971,False
Yaar kal ka jo payment tha woh bhi bhej dena mai bhul gyi kitna dena tha,Neutral,Negative,0.9973,False
Kaisa gaya,Neutral,Positive,0.8388,False
Haaaa bas abhi uti hu,Neutral,Positive,0.9859,False
So gayi kya?,Neutral,Negative,0.9905,False
Kabke abhi uthi hu,Neutral,Negative,0.8647,False
M aajau mera bhi wo dena hai,Neutral,Negative,0.9589,False
Baki jo hai wo tujhe dena hai,Neutral,Negative,0.9276,False
Haaa dono baat ka same meaning hai,Neutral,Positive,0.8968,True
Kal wala payment pratiksha ne kiya tha,Neutral,Negative,0.9626,False
Project karooo yaaarrrrr,Neutral,Positive,0.9651,False
Bas aise hi kiya,Neutral,Positive,0.7131,False
Kyu tumhara actor nahi hai sikhane wala.. jo muje msg kar rahi hai?,Neutral,Negative,0.9825,True
Wo hai don't worry,Positive,Neutral,0.7934,False
Aree toh baatein karo usse. Ya usko dekho,Neutral,Negative,0.9628,True
"Bhai meri kismat bhi na, jab zaroorat hoti hai tabhi net band ho jata hai 🙂",Negative,Positive,0.5868,True
"Wah bhai kya timing hai, exam ke ek din pehle notes mil rahe hain 👏😂",Negative,Positive,0.9682,True
"Tu aa ja pehle, baaki ka kaam baad mein dekh lenge",Positive,Negative,0.3914,False
"Arey chill kar, itna bhi serious scene nahi hai 😂",Positive,Negative,0.7151,False
Tumhari advice follow karke ab toh situation aur interesting ho gayi 💀,Negative,Positive,0.9971,True
"Kya zabardast idea diya hai, ab bas koi isse implement bhi kar de 😭👏",Positive,Negative,0.7268,True
"Sorry yaar, phone silent pe tha isliye reply late ho gaya 🥲",Neutral,Negative,0.9904,False
"Wah, tumhari memory toh kamaal ki hai, kal ki baat aaj yaad aa gayi 😂",Negative,Positive,0.5078,True
Aaj library chalna hai kya? Mereko bhi thoda padhna hai 📚,Neutral,Negative,0.9683,False
"Haan bilkul, tumhare bina toh ye kaam impossible hi tha 😌😂",Positive,Negative,0.6854,True
"Tum log enjoy karo, main yaha assignment ke saath relationship mein hu 😭",Negative,Positive,0.6875,True
Acha toh ab yaad aaya ki kal submission hai? Very nice 😂,Negative,Positive,0.9971,True
Bas ek coffee mil jaye phir shayad dimaag kaam karne lage ☕😭,Neutral,Negative,0.8437,False
Kal movie dekhne chale? Kaafi time ho gaya sab saath nahi mile,Positive,Negative,0.9742,False
"Haan haan tum padhai karo, main tumhare liye attendance laga deti hu 😂",Positive,Negative,0.9949,True
"Wah bhai, kya timing hai tumhari 😂",Neutral,Positive,0.9919,True
Kal movie dekhne chale? 🍿,Neutral,Negative,0.9343,False
"Haan haan, tum toh bahut time ke punctual ho 😂",Neutral,Positive,0.993,True
"Kya amazing internet hai, ek message bhejne mein 10 min lag rahe hain 🙂",Negative,Positive,0.9978,True
Tumhare bina toh group bilkul shaant rehta hai 😂,Neutral,Positive,0.833,True
Bhai kitni baar same cheez samjhau 😑,Negative,Neutral,0.785,False
"Kal milte hain, aaj thoda busy hu yaar 😅",Neutral,Negative,0.9554,False
Nhi aaj attendance hui,Positive,Neutral,0.9717,False
No one can use if you are useless,Negative,Neutral,0.5428,False
If your enemy can predict your next move then don't move😌,Neutral,Negative,0.813,False
You can't guess my strategy cause i don't have one🙂‍↔️,Neutral,Positive,0.9787,True
"bhai, tu toh world's best driver hai, roz gaadi thokta hai",Neutral,Positive,0.969,True
Mai ghr ja rhi hu🥹,Positive,Neutral,0.9729,False
College mai attu zaattu logo ke sath mai nhi ghumti 😏,Negative,Positive,0.5331,True
Khana khaya lekin mess ka ghr ka nhi😁,Negative,Neutral,0.9768,True
Fallen to rise,Positive,Neutral,0.6032,False
Kya mess mai food bhi kathehai tum log?,Positive,Neutral,0.9706,True
Arey bhai thu tho topper hai bhol ke mere exams ke preparation karaab kar diya usne,Negative,Positive,0.9438,True
Ye sab kyu karna hai bhaii😭mereko ghar jana hai😭😭,Neutral,Negative,0.993,False
Mene to hastin ko admin banaya tha bhai nikal deta,Neutral,Negative,0.996,False
"Yaar ye professor ka attendance system dekho, kitna accurate hai 😂",Negative,Neutral,0.7632,True
Hostel mein wifi ki speed dekhi hai? Ferrari se bhi tez 🙃,Negative,Neutral,0.9141,True
Tumhare notes kitne organized hain yaar 😌,Negative,Positive,0.9965,True
Delhi mein pollution level normal hai aaj 🤡,Negative,Neutral,0.6359,True
Room cleaning ka fine bhara hai maine 😭,Negative,Positive,0.8365,False
Warden uncle ki timing sense bilkul perfect hai 😂,Negative,Positive,0.9946,True
Shopkeeper ne kitni reasonable price di thi 🥲,Negative,Positive,0.9787,True
Yaar assignment extension mil gaya professor se,Positive,Neutral,0.9904,False
Group project mein sabne equally contribute kiya hai 😌,Negative,Positive,0.9985,True
Kal early morning class hai 8 baje 😭,Negative,Neutral,0.8316,False
Placement cell ki guidance dekhi hai kitni helpful hai 🙃,Negative,Positive,0.9542,True
Weekend plans cancel ho gaye rain ki wajah se,Neutral,Negative,0.9934,False
College ka AC system kitna efficient hai summer mein 🔥,Negative,Positive,0.9361,True
Yaar movie tickets book kar li aaj wali show ki,Neutral,Negative,0.5435,False
Professor ne exactly on time class start kiya 😏,Negative,Neutral,0.9937,True
Metro mein seat mil gayi rush hour mein,Positive,Neutral,0.9293,False
Canteen ka uncle ne bill mein discount de diya,Positive,Neutral,0.9683,False
Yaar phone ki battery life dekho kitni amazing hai 😌,Negative,Positive,0.9976,True
ATM mein cash available tha month end mein miracle 😂,Negative,Positive,0.6009,True
Hostel ka security guard kitna alert rehta hai raat mein 💀,Negative,Positive,0.7688,True
College ka infrastructure dekho kitna world class hai 🥲,Negative,Positive,0.9862,True
"Yaar aaj lecture bunk karte hai, mann nahi kar rha jaane ka",Neutral,Negative,0.9776,False
"Wah professor, itni jaldi result nikal diya aapne, sirf 2 mahine lagaye 👏",Negative,Positive,0.9984,True
"Mess mein aaj paneer tha, itna acha laga khake 😭😭",Negative,Positive,0.9917,False
"Arre suna maine, tera birthday aane wala h, plan kya h?",Neutral,Negative,0.9491,False
Itni acchi attendance h meri ki professor bhi pehchanta nahi mujhe 😂,Negative,Positive,0.9977,True
Kal exam h aur mujhe abhi tak syllabus nahi pata 😭,Negative,Positive,0.6816,False
"Group project mein sirf mai kaam kr rha hu, baaki sab 'busy' hai apparently",Negative,Neutral,0.7712,True
"Haan bilkul, roommate ne bhi utna hi kaam kiya jitna maine socha tha 😌",Negative,Positive,0.9377,True
"Bhai teri gaadi ka horn itna soft h, pura mohalla sunta h 😂",Negative,Positive,0.894,True
"Kal shopping jaana h, kuch naya lena h function ke liye",Neutral,Negative,0.6627,False
"Wah teacher, extension diya assignment ke liye, bahut generous ho aap 👏",Negative,Positive,0.9985,True
"Aaj mess mein khana time pe mil gaya, chamatkar ho gaya",Positive,Neutral,0.9924,True
"Mtlb kya baat h, first time tune assignment time pe submit kiya 😏",Negative,Neutral,0.4573,True
"Bhai exam ke result aaye, thoda tension h abhi",Neutral,Negative,0.7788,False
Wah kitna acha socha tumne group project last night complete karne ka 👏,Negative,Positive,0.9986,True
Tere jokes sunke lagta h comedy field mein try karna chahiye tujhe 😂,Neutral,Negative,0.9967,True
"Kal se gym join kar rha hu, is baar serious hu",Neutral,Negative,0.8044,False
Bhai teri planning dekh ke lagta h tu future predict kr sakta h 😏,Neutral,Positive,0.4967,True
"Aaj bhi late aaya class mein, sorry yaar traffic tha",Neutral,Negative,0.9553,False
"Itna acha suggestion diya tune, bilkul wahi jo maine pehle try kiya tha 😌",Negative,Positive,0.9985,True
"Wah roommate, kitna quiet reh k gaana suna raat ko 3 baje 🙃",Negative,Positive,0.7361,True
Bhai teri packing dekh k lagta h tu 6 mahine ke liye ja rha h weekend trip pe 😂,Neutral,Negative,0.9854,True
"Group study session mein sab phone chala rahe the, kitna productive raha 🙃",Negative,Positive,0.9798,True
Ladaai toh humare saath hi hogi pyaar toh kisi aur ke saath chal raha hai🥰🥰🥰,Negative,Positive,0.9978,True
Everything is being recorded👀👀,Neutral,Positive,0.9947,False
Bhaiii Sahab!!!!,Neutral,Positive,0.9911,False
acha exam ke baad thodi der baad baat karte hain 😂,Neutral,Positive,0.9901,False
yaar shopping mein train kitne baje hai 😅,Neutral,Negative,0.9132,False
yaar ye idea mujhe bilkul pasand nahi aaya aaj festival ka 😅,Negative,Positive,0.9504,False
"order ka wow, ye bhi ek approach hai bhai",Neutral,Positive,0.9977,True
arre festival ke din thodi der baad baat karte hain bas,Neutral,Positive,0.5233,False
"dekho canteen ka food oh really, interesting plan hai na",Neutral,Positive,0.9964,True
dekho notes group mein daal dena bas,Neutral,Negative,0.5058,False
"dekho wow, ye bhi ek approach hai",Neutral,Positive,0.9984,True
acha mujhe file bhej dena yaar,Neutral,Positive,0.9919,False
dekho train kitne baje hai bas,Neutral,Negative,0.5499,False
arre ye idea mujhe bilkul pasand nahi aaya bhai,Negative,Positive,0.6873,False
dekho aaj festival ka data collect karna baaki hai 😅,Neutral,Negative,0.9429,False
dekho data collect karna baaki hai 😂,Neutral,Negative,0.995,False
arre kal college jana hai kya 👍,Neutral,Negative,0.9757,False
yaar project ke regarding lecture 10 baje start hoga 👍,Neutral,Positive,0.9535,False
arre hostel ke room mein payment abhi pending hai na,Neutral,Negative,0.9049,False
acha interview expected se bhi kharab gaya family ke saath bas,Negative,Positive,0.9707,False
data collect karna baaki hai 😅,Neutral,Negative,0.9953,False
"acha code ke andar haan sure, jo karna hai kar lo bro",Neutral,Negative,0.6892,True
arre thodi der baad baat karte hain,Neutral,Positive,0.995,False
dekho report abhi ready nahi hai 😂,Neutral,Negative,0.9685,False
acha thodi der baad baat karte hain 😭,Neutral,Positive,0.9777,False
bhai payment abhi pending hai 👍,Neutral,Negative,0.9307,False
"bhai wah kya planning thi, plan start hone se pehle cancel 😂",Positive,Negative,0.9428,True
acha train kitne baje hai 👍,Neutral,Positive,0.9982,False
"dekho brilliant idea, ab sabko extra kaam karna padega bhai",Negative,Positive,0.9967,True
acha interview expected se bhi kharab gaya,Negative,Positive,0.9756,False
dekho food order karna hai kya 😭,Neutral,Negative,0.9776,False
sun assignment time pe submit ho gaya bro,Positive,Neutral,0.997,False
yaar payment abhi pending hai 😂,Neutral,Negative,0.9946,False
acha internship ka thodi der baad baat karte hain bhai,Neutral,Positive,0.9979,False
acha data collect karna baaki hai bhai,Neutral,Positive,0.9948,False
acha birthday pe report abhi ready nahi hai yaar,Neutral,Negative,0.9748,False
acha meeting reschedule ho gayi hai na,Neutral,Negative,0.8498,False
sun aaj bahut traffic tha,Negative,Neutral,0.7559,False
"bro wah kya zabardast kaam kiya, ab problem aur badh gayi 😭",Negative,Positive,0.9793,True
acha report abhi ready nahi hai na,Neutral,Negative,0.9796,False
bro presentation bilkul achi nahi gayi party mein,Negative,Positive,0.9978,False
acha kal college jana hai kya 😅,Neutral,Negative,0.9864,False
"bro great bhai, exactly isi wajah se sab kharab hua hostel se bhai",Negative,Positive,0.9425,True
"bhai oh really, interesting plan hai na",Neutral,Positive,0.9986,True
bro data collect karna baaki hai 😅,Neutral,Negative,0.9633,False
acha internship ke liye main thodi der mein call karta hun yaar,Neutral,Positive,0.9967,False
"bhai wah kya zabardast kaam kiya, ab problem aur badh gayi library ke andar",Negative,Positive,0.9775,True
bhai presentation bilkul achi nahi gayi,Negative,Positive,0.9938,False
food order karna hai kya 👍,Neutral,Positive,0.4366,False
yaar interview expected se bhi kharab gaya na,Negative,Neutral,0.6142,False
"wah kya planning thi, plan start hone se pehle cancel aaj ke exam ka 😅",Positive,Negative,0.9761,True
"bro library mein oh really, interesting plan hai 😅",Neutral,Positive,0.9981,True
"great bhai, exactly isi wajah se sab kharab hua 😂",Negative,Positive,0.9634,True
yaar payment abhi pending hai yaar,Neutral,Negative,0.9623,False
sun presentation bilkul achi nahi gayi exam ke baad 👍,Negative,Positive,0.9852,False
"sun great bhai, exactly isi wajah se sab kharab hua 😂",Negative,Positive,0.9739,True
acha assignment submit karke kal meeting kitne baje hai na,Neutral,Positive,0.9003,False
kal milte hain,Neutral,Positive,0.5425,False
theek hai,Neutral,Negative,0.8637,False
kya time pe aaye ho aaj,Positive,Negative,0.5283,True
haan sure jo karna hai karo,Neutral,Positive,0.9688,True
yeah right,Neutral,Positive,0.8924,True
koi baat nahi,Neutral,Negative,0.87,False
achha thik hai,Neutral,Positive,0.7955,False
bas theek hai,Neutral,Negative,0.8667,False
sab kuch ready hai,Positive,Neutral,0.5045,False
ok done,Neutral,Positive,0.8696,False
yaar tension mat lo,Positive,Neutral,0.7344,False
kya scene hai,Neutral,Positive,0.8524,False
whatever,Neutral,Positive,0.3774,True
are yaar kya kar rahe ho,Negative,Neutral,0.9612,False
kuch nahi yaar,Neutral,Negative,0.9892,False
see you soon,Neutral,Positive,0.9964,False
bahut ganda laga,Negative,Positive,0.9987,False
ok bye,Neutral,Positive,0.7707,False
acha thodi der baad baat karte hain 👍,Neutral,Positive,0.9985,False
"acha haan sure, jo karna hai kar lo bas",Neutral,Positive,0.9785,True
arre thodi der baad baat karte hain na,Neutral,Negative,0.9576,False
arre exam ke baad mujhe file bhej dena bhai,Neutral,Positive,0.9929,False
bhai work mein mujhe file bhej dena 😭,Neutral,Negative,0.9765,False
"aaj college ka haan bilkul, tum jo decide karo bhai",Neutral,Positive,0.5989,True
bhai data collect karna baaki hai 👍,Neutral,Positive,0.6576,False
bhai aaj wali movie payment abhi pending hai 😅,Neutral,Negative,0.9915,False
dekho hostel ke room mein payment abhi pending hai 😅,Neutral,Negative,0.9694,False
"dekho oh really, interesting plan hai yaar",Neutral,Positive,0.9987,True
sun lecture 10 baje start hoga yaar,Neutral,Positive,0.9239,False
acha aaj library mein milte hain 😂,Neutral,Positive,0.59,False
"dekho order ka haan sure, jo karna hai kar lo 😭",Neutral,Negative,0.9907,True
acha aaj ke match mein aaj ghar pe hi hun 😭,Neutral,Negative,0.7195,False
"yaar wah kya zabardast kaam kiya, ab problem aur badh gayi bas",Negative,Positive,0.9058,True
"Tu five minute bolke aadhe ghante baad aaya, impressive consistency hai teri 😂",Negative,Positive,0.9894,True
Sir ne bola easy question hai aur paper dekhte hi meri rooh nikal gayi 😭,Negative,Positive,0.9394,True
Kal presentation ke liye maine slides revise kar li hain,Positive,Neutral,0.9114,False
"Tu tension mat le, main notes lekar aa jaungi",Positive,Negative,0.5402,False
"Mai kal subah jaldi uthke padhungi, aaj kaafi thak gayi hu",Neutral,Negative,0.6979,False
"Main canteen ja rahi hu, kisi ko kuch mangwana hai toh batao",Neutral,Negative,0.9332,False
"Kal ka test postpone ho gaya, finally thodi jaan mein jaan aayi 🥹",Positive,Negative,0.9552,False
Sir ne aaj attendance ke naam pe pura lecture suna diya,Negative,Neutral,0.9926,False
"Haan haan, tumhara internet hamesha tabhi jaata hai jab kaam karna hota hai 😂",Negative,Positive,0.9129,True
Group discussion mein sabne itne ideas diye ki end mein mera hi idea final hua 😂,Positive,Negative,0.7724,False
"Waah, kya timing hai, mere aate hi tum log nikal rahe ho 🙃",Negative,Positive,0.7188,True
Hostel ka WiFi aaj surprisingly chal raha hai 😭,Positive,Negative,0.9157,False
Kal agar koi market ja raha ho toh mujhe bhi bata dena,Neutral,Negative,0.9083,False
Mai thodi der mein room pe aa jaungi,Neutral,Positive,0.7459,False
Kal ke event ke liye registration kar diya maine,Positive,Neutral,0.993,False
"Bahut useful advice thi, ab main exactly wahi nahi karungi 😂",Negative,Positive,0.998,True
Tu free ho toh mujhe woh document forward kar dena,Neutral,Negative,0.8228,False
"Presentation ke time laptop update hona hi baaki tha, perfect moment 💀",Negative,Positive,0.9769,True
Tu ghar pahunch jaaye toh ek message kar dena,Neutral,Negative,0.9578,False
"Great, ab assignment ke saath handwritten file bhi chahiye. Kya hi life hai 😭",Negative,Positive,0.9938,True
"Mai abhi room share nahi kar sakti, thoda kaam pending hai",Neutral,Negative,0.9821,False
"Exam ka syllabus dekh liya, manageable lag raha hai",Positive,Neutral,0.6411,False
Main tumhare liye bhi print nikalwa dungi,Positive,Negative,0.8082,False
"Kal morning mein jaldi nikalna hai, alarm laga lena",Neutral,Negative,0.635,False
"Haan, tumhara ""mai bhoolunga nahi"" yaad hai mujhe 😌",Negative,Positive,0.9962,True
Mai thodi der ke liye bahar ja rahi hu,Neutral,Negative,0.9763,False
Kal ke liye clothes ready kar liye,Positive,Neutral,0.5701,False
"Tu tension mat le, agar kuch hua toh main handle kar lungi",Positive,Negative,0.991,False
Class cancel hone ki news sunke attendance se zyada meri happiness badh gayi 🥹,Positive,Negative,0.9745,False
"Project ka backend complete ho gaya, ab frontend bach raha hai",Positive,Neutral,0.9957,False
"Accha hua tune pehle bata diya, main already nikalne wali thi",Positive,Neutral,0.852,False
Group ka sabse active member wahi hai jo deadline ke baad online aata hai 😂,Negative,Positive,0.9881,True
"Waah, tumne phir se same mistake ki. At least consistency toh maintain hai 😂",Negative,Positive,0.9076,True
"Food order kar diya, tumhara bhi kar du?",Positive,Neutral,0.9955,False
"Deadline extend hui hai, ab shayad peacefully complete kar paungi",Positive,Negative,0.9095,False
Tu jo bhi final kare mujhe bata dena,Neutral,Negative,0.9926,False
"Mai abhi free hu, call kar sakte ho",Positive,Neutral,0.9288,False
"Notes complete kar liye maine, chahiye toh bhej deti hu",Positive,Negative,0.9766,False
"Tu bas ek baar confirm kar de, phir main booking kar dungi",Neutral,Negative,0.9942,False
"Accha hai assignment submit ho gaya, ab thoda chain milega",Positive,Negative,0.9843,False
"Bilkul perfect, ab sirf internet, laptop aur printer teenon ka ek saath kharab hona baaki hai 💀",Negative,Positive,0.5223,True
"submission ka kaam start kar diya hai, update baad mein dunga 📌 😅",Neutral,Negative,0.885,False
"Details mil gayi hain, bas confirmation baaki hai yaar 🙂",Neutral,Positive,0.6357,False
Aaj submission mein ek extra step add hua hai 😅 — sach mein.,Neutral,Positive,0.9773,False
"Nice, information mil gayi... bas useful wali abhi missing hai 🤔",Neutral,Positive,0.839,True
"Thoda late start hua, but kaam expected se jaldi finish ho gaya 😌 😅",Positive,Negative,0.9698,False
"Haan haan, 'filhaal bas five minutes' obviously apne hi timezone mein hain 🫠",Neutral,Negative,0.6836,True
"Excellent planning, location ka exact address event start hone pe mila 🙂",Neutral,Positive,0.9661,True
"Great, notes phir se wahi issue de raha hai, consistency toh hai 😵‍💫 😅",Negative,Positive,0.9788,True
Aaj submission mein ek extra step add hua hai 🙂 — sach mein.,Neutral,Positive,0.9983,False
"Perfect, meeting ka time sabko alag-alag pata tha 🫠 — sach mein.",Neutral,Positive,0.9966,True
"Nice, information mil gayi... bas useful wali abhi missing hai 🫠 — sach mein.",Neutral,Positive,0.9975,True
"Haan, obviously 'kal' ka matlab kabhi bhi ho sakta hai yaar 👀 — sach mein.",Neutral,Positive,0.9928,True
