message,actual_sarcasm,predicted_sarcasm,sarcasm_confidence,actual_sentiment
Itni bhi khrab english nhi ki nsm bhi galat likhu🥱,True,False,0.999,Negative
Ye bat gharki he ki ni ata,True,False,0.9991,Negative
Bhai kya banai hai,True,False,0.9362,Negative
Aur kuch zaroori nhi hai,False,True,0.995,Neutral
Bas pray ki ye select na ho,True,False,0.9961,Negative
ho jani chiye re...tumhari wli bhejo tb pray krungi,True,False,0.9992,Positive
Where were you till now?,False,True,0.995,Positive
Kaha mar gayi thi,True,False,0.994,Negative
I'm getting late for the class yaar,False,True,0.981,Positive
I Don't know anything yaar,False,True,0.9482,Positive
"Are mai sundar hi hoon, bacchpan se",True,False,0.8497,Neutral
Ye kand sunne ke baad toh meri mummy bohot pyaar karegi bhai mujhe,True,False,0.9993,Negative
It's pouring cats and dogs outside,False,True,0.9954,Neutral
"Gee, thanks for helping me out there",True,False,0.56,Negative
That is such a pretty skirt 🥰,False,True,0.9691,Positive
yaar phir se kaam fail ho gaya 😅,False,True,0.774,Negative
"Koi nahi, galti sabse hoti hai… tumse thodi zyada hoti hai",True,False,0.9983,Negative
Tumhara logic dekh ke calculator bhi confuse ho gaya.,True,False,0.998,Negative
Aaj toh meri kismat bhi mujhse competition kar rahi hai 😭,True,False,0.9971,Negative
Tu itna jaldi reply karta hai ki notification dekh ke surprise ho jaati hu 😂,True,False,0.9387,Positive
"Wah, kya memory hai tumhari, birthday bhi yaad nahi raha 😭👏",True,False,0.6463,Negative
Tumse help maangna matlab apna kaam double karwana hai 😂,True,False,0.9924,Negative
"Kya zabardast idea tha tumhara, ab poori raat yehi fix karna padega 😑",True,False,0.9758,Negative
Tumhari punctuality dekh ke clock bhi confuse ho jaati hogi 😂,True,False,0.8413,Negative
"Great, internet bhi abhi hi jaana tha jab assignment submit karna hai 🙂",True,False,0.9982,Negative
Bhikh mangne ka tarika thoda kezual haii 😋,True,False,0.9978,Negative
Jitne ho sake jisse bhi pucho kuch bhi bhejo bas bhejo kiska bf ban raha tha usse baat karo apne aap sentence mil jayenge💀🌚,True,False,0.9921,Neutral
Tab to horny sentences ki barishhh 🌚,True,False,0.5442,Neutral
Improper ho sakte hai par sab nhi,False,True,0.7938,Neutral
chalo ladaai karte hai,True,False,0.9985,Neutral
Ha to pata hai,False,True,0.9858,Neutral
woh mood ke hisaab se marks deti hai fs,True,False,0.8234,Negative
Mene to nahi padhe..,False,True,0.7352,Neutral
Do ko peeche kyu choda,True,False,0.9988,Negative
To project ka kab ka mahurat nikale,True,False,0.9958,Neutral
Waise usme banana kya hai?,False,True,0.9975,Neutral
Wo meet m aana thoda mushkil hai,False,True,0.9303,Negative
Ha ha rakh dungi,False,True,0.9898,Positive
Kaisa gaya,False,True,0.9973,Neutral
So gayi kya?,False,True,0.9818,Neutral
Tu mujhe pay karegi i mean🤣,True,False,0.9535,Positive
Haaa dono baat ka same meaning hai,True,False,0.8932,Neutral
Project karooo yaaarrrrr,False,True,0.571,Neutral
Kyu tumhara actor nahi hai sikhane wala.. jo muje msg kar rahi hai?,True,False,0.999,Neutral
M narrator hu,False,True,0.9806,Neutral
Wo hai don't worry,False,True,0.7426,Positive
Aree toh baatein karo usse. Ya usko dekho,True,False,0.9981,Neutral
"Bhai meri kismat bhi na, jab zaroorat hoti hai tabhi net band ho jata hai 🙂",True,False,0.9933,Negative
"Wah bhai kya timing hai, exam ke ek din pehle notes mil rahe hain 👏😂",True,False,0.7745,Negative
"Mujhe laga aaj kuch productive karungi, phir bed ne bula liya 😭",True,False,0.9924,Negative
Tumhari advice follow karke ab toh situation aur interesting ho gayi 💀,True,False,0.9066,Negative
"Kya zabardast idea diya hai, ab bas koi isse implement bhi kar de 😭👏",True,False,0.9776,Positive
"Sorry yaar, phone silent pe tha isliye reply late ho gaya 🥲",False,True,0.6621,Neutral
"Wah, tumhari memory toh kamaal ki hai, kal ki baat aaj yaad aa gayi 😂",True,False,0.7051,Negative
"Tum log enjoy karo, main yaha assignment ke saath relationship mein hu 😭",True,False,0.9763,Negative
"Wahhh, aaj toh tumne bina bole kaam kar diya, proud of you 😂👏",True,False,0.6965,Positive
"Mereko laga traffic kam hoga, Google Maps ne bhi dhokha de diya 🙂",True,False,0.9989,Negative
"Finally kaam ho gaya yaarrr, ab jaake sukoon mila 😭🎉",False,True,0.8647,Positive
Mujhe 5 minute bolke 2 ghante laga diye 🙃,True,False,0.9678,Negative
Tumhare bina toh group bilkul shaant rehta hai 😂,True,False,0.5734,Neutral
Finally assignment submit ho gaya 🥳,False,True,0.9907,Positive
bhut dino baad yaad kiya,True,False,0.9986,Positive
have u completed the dbms assignment?,False,True,0.9976,Neutral
Congo bro 🎊🎉,False,True,0.9914,Positive
Nhi aaj attendance hui,False,True,0.8299,Positive
No one can use if you are useless,False,True,0.9988,Negative
If your enemy can predict your next move then don't move😌,False,True,0.996,Neutral
"bhai, tu toh world's best driver hai, roz gaadi thokta hai",True,False,0.9599,Neutral
College mai attu zaattu logo ke sath mai nhi ghumti 😏,True,False,0.9948,Negative
Khana khaya lekin mess ka ghr ka nhi😁,True,False,0.991,Negative
Iam going to my homeeee,False,True,0.9969,Positive
All the best guyzzz,False,True,0.9904,Positive
Fallen to rise,False,True,0.9981,Positive
Happy Independence Day,False,True,0.7523,Positive
Kya mess mai food bhi kathehai tum log?,True,False,0.9973,Positive
Arey bhai thu tho topper hai bhol ke mere exams ke preparation karaab kar diya usne,True,False,0.9992,Negative
"Yaar ye professor ka attendance system dekho, kitna accurate hai 😂",True,False,0.9278,Negative
Arrey yaar mera phone charge hi nahi ho rha 😩,False,True,0.9316,Negative
Hostel mein wifi ki speed dekhi hai? Ferrari se bhi tez 🙃,True,False,0.9742,Negative
Tumhare notes kitne organized hain yaar 😌,True,False,0.9291,Negative
Library mein jagah mil gayi miracle!,False,True,0.9989,Positive
Delhi mein pollution level normal hai aaj 🤡,True,False,0.6194,Negative
Shopkeeper ne kitni reasonable price di thi 🥲,True,False,0.981,Negative
Auto wale bhaiya ne meter on kiya wow 😭💀,True,False,0.9608,Negative
Group project mein sabne equally contribute kiya hai 😌,True,False,0.9371,Negative
Placement cell ki guidance dekhi hai kitni helpful hai 🙃,True,False,0.9594,Negative
Mess uncle ne extra sabzi de di aaj,False,True,0.997,Positive
College ka AC system kitna efficient hai summer mein 🔥,True,False,0.9756,Negative
Professor ne exactly on time class start kiya 😏,True,False,0.7554,Negative
Metro mein seat mil gayi rush hour mein,False,True,0.937,Positive
Yaar phone ki battery life dekho kitni amazing hai 😌,True,False,0.9567,Negative
College ka placement record iss saal dekho 🙃,True,False,0.8264,Negative
Hostel ka security guard kitna alert rehta hai raat mein 💀,True,False,0.6682,Negative
College ka infrastructure dekho kitna world class hai 🥲,True,False,0.9268,Negative
"Wah professor, itni jaldi result nikal diya aapne, sirf 2 mahine lagaye 👏",True,False,0.996,Negative
Bhai teri presentation dekh ke laga tune raat bhar prepare ki thi 😏,True,False,0.9957,Negative
Kitna acha laga na jab wifi hostel mein band ho gaya exam ke time pe 😌,True,False,0.9591,Negative
"Arre suna maine, tera birthday aane wala h, plan kya h?",False,True,0.7724,Neutral
Itni acchi attendance h meri ki professor bhi pehchanta nahi mujhe 😂,True,False,0.993,Negative
"Wah kya organized group chat h ye, 300 messages aur ek bhi kaam ka nahi 🙃",True,False,0.994,Negative
"Group project mein sirf mai kaam kr rha hu, baaki sab 'busy' hai apparently",True,False,0.742,Negative
"Bhai teri gaadi ka horn itna soft h, pura mohalla sunta h 😂",True,False,0.9928,Negative
"Itna sunder handwriting h teri, doctor ban sakta h tu 😏",True,False,0.5776,Negative
"Aaj mess mein khana time pe mil gaya, chamatkar ho gaya",True,False,0.9983,Positive
Bhai tu late aaya but itna calm h jaise pura din free tha 😂,True,False,0.9781,Negative
"Group mein sabne plan cancel kar diya last moment pe, kitna reliable h sab 🙃",True,False,0.9792,Negative
"Mtlb kya baat h, first time tune assignment time pe submit kiya 😏",True,False,0.9607,Negative
"Roommate ne bola subah utha dega, 2 ghante late uthaya 🤡",True,False,0.9529,Negative
Itni fast internet speed h yaha ki ek page load hone mein 5 minute lagte h 😭,True,False,0.8305,Negative
Wah kitna acha socha tumne group project last night complete karne ka 👏,True,False,0.9428,Negative
Tere jokes sunke lagta h comedy field mein try karna chahiye tujhe 😂,True,False,0.9754,Neutral
"Kya baat h, hostel ka paani aaj bhi nahi aaya, roz ka naya surprise 😩",True,False,0.9813,Negative
Bhai teri planning dekh ke lagta h tu future predict kr sakta h 😏,True,False,0.9799,Neutral
"Itna acha suggestion diya tune, bilkul wahi jo maine pehle try kiya tha 😌",True,False,0.9973,Negative
"Maine socha exam postpone hoga par nahi hua, ab tension double h",False,True,0.7719,Negative
"Wah roommate, kitna quiet reh k gaana suna raat ko 3 baje 🙃",True,False,0.9776,Negative
"Kitna helpful h ye new app, crash ho gaya submit karte time hi 😭💀",True,False,0.6915,Negative
Bhai teri packing dekh k lagta h tu 6 mahine ke liye ja rha h weekend trip pe 😂,True,False,0.9852,Neutral
"Group study session mein sab phone chala rahe the, kitna productive raha 🙃",True,False,0.9667,Negative
Ladaai toh humare saath hi hogi pyaar toh kisi aur ke saath chal raha hai🥰🥰🥰,True,False,0.9795,Negative
Everything is being recorded👀👀,False,True,0.9918,Neutral
Marvaoge tum log😭,True,False,0.6376,Negative
Next bari humari hai,True,False,0.8884,Neutral
Tayar rehna sabhi,True,False,0.9971,Positive
yaar phir se kaam fail ho gaya 😅,False,True,0.774,Negative
yaar ye idea mujhe bilkul pasand nahi aaya aaj festival ka 😅,False,True,0.7604,Negative
"sun thanks yaar, problem solve ho gayi bas",False,True,0.997,Positive
"order ka wow, ye bhi ek approach hai bhai",True,False,0.9864,Neutral
yaar lecture 10 baje start hoga 😭,False,True,0.9625,Neutral
dekho notes group mein daal dena bas,False,True,0.9832,Neutral
"sun offer mil gaya yaar, so happy 😅",False,True,0.9869,Positive
yaar party ka plan solid hai bro,False,True,0.5739,Positive
movie sach mein bahut achi thi bro,False,True,0.6791,Positive
bro trip ka experience bahut amazing tha order ka 😂,False,True,0.6451,Positive
yaar interview expected se bhi kharab gaya ghar pe 😅,False,True,0.5142,Negative
yaar project ke regarding lecture 10 baje start hoga 👍,False,True,0.5119,Neutral
dekho report abhi ready nahi hai 😂,False,True,0.9417,Neutral
arre movie sach mein bahut achi thi hostel ke room mein 😂,False,True,0.7828,Positive
bro ye idea actually kaafi useful hai exam ke baad 😂,False,True,0.8807,Positive
bhai payment abhi pending hai 👍,False,True,0.6064,Neutral
yaar food order karna hai kya bhai,False,True,0.6594,Neutral
"dekho brilliant idea, ab sabko extra kaam karna padega bhai",True,False,0.9438,Negative
bro mast yaar plan successful ho gaya,False,True,0.9602,Positive
sun canteen mein notes group mein daal dena,False,True,0.9977,Neutral
dekho food order karna hai kya 😭,False,True,0.6836,Neutral
"arre great job bhai, bas isi ki kami thi na",True,False,0.5667,Positive
arre ye plan toh bilkul work nahi kiya travel mein 😅,False,True,0.9702,Negative
sun assignment time pe submit ho gaya bro,False,True,0.8251,Positive
yaar payment abhi pending hai 😂,False,True,0.9709,Neutral
"sun sure jan, tum jo bolo wahi sahi exam ke baad 😭",True,False,0.9387,Positive
acha meeting reschedule ho gayi hai na,False,True,0.9189,Neutral
ye idea actually kaafi useful hai na,False,True,0.9825,Positive
acha report abhi ready nahi hai na,False,True,0.9255,Neutral
bro ye idea actually kaafi useful hai trip mein 😭,False,True,0.9829,Positive
bro presentation bilkul achi nahi gayi party mein,False,True,0.9949,Negative
yaar finally weekend aa gaya trip mein bhai,False,True,0.9823,Positive
arre phir se kaam fail ho gaya 😂,False,True,0.6631,Negative
bro trip mein bahut problems aa gayi 😭,False,True,0.871,Negative
yaar ye plan toh bilkul work nahi kiya order ka bas,False,True,0.9725,Negative
dekho offer reject ho gaya yaar festival mein 😂,False,True,0.9377,Negative
yaar main thodi der mein call karta hun bhai,False,True,0.5147,Neutral
"bro great bhai, exactly isi wajah se sab kharab hua hostel se bhai",True,False,0.6792,Negative
yaar ye plan toh bilkul work nahi kiya library se 😂,False,True,0.9238,Negative
acha movie sach mein bahut achi thi 😅,False,True,0.9758,Positive
"sure sure, mujhe pura trust hai tumpe 👍",True,False,0.8263,Positive
yaar finally weekend aa gaya 😭,False,True,0.998,Positive
yaar thank you bhai tune bahut help ki na,False,True,0.5516,Positive
"bhai wah kya zabardast kaam kiya, ab problem aur badh gayi library ke andar",True,False,0.9944,Negative
bro finally kaam complete ho gaya aaj ki meeting 😂,False,True,0.5517,Positive
yaar payment abhi pending hai yaar,False,True,0.9634,Neutral
yaar aaj bahut acha laga,False,True,0.9912,Positive
bhai kya bakwas hai,False,True,0.8223,Negative
great job bro,False,True,0.8821,Positive
theek hai,False,True,0.7657,Neutral
kya time pe aaye ho aaj,True,False,0.9737,Positive
sorry yaar late ho gaya,False,True,0.948,Negative
awesome work,False,True,0.9051,Positive
this is actually amazing,False,True,0.9987,Positive
bohot badhiya,False,True,0.9868,Positive
koi baat nahi,False,True,0.9951,Neutral
ye kya ho raha hai,False,True,0.5009,Negative
good morning,False,True,0.8732,Positive
achha thik hai,False,True,0.8665,Neutral
bas theek hai,False,True,0.9896,Neutral
all the best,False,True,0.9807,Positive
hmmm,False,True,0.9695,Neutral
ok done,False,True,0.9597,Neutral
yaar tension mat lo,False,True,0.9942,Positive
kya scene hai,False,True,0.9832,Neutral
good night,False,True,0.7587,Positive
bilkul sahi,False,True,0.9985,Positive
nice work,False,True,0.7788,Positive
are yaar kya kar rahe ho,False,True,0.9945,Negative
kuch nahi yaar,False,True,0.9983,Neutral
see you soon,False,True,0.5902,Neutral
bahut ganda laga,False,True,0.9816,Negative
ok bye,False,True,0.5112,Neutral
arre yaar pagal hai kya,False,True,0.9947,Negative
arre ye idea actually kaafi useful hai weather dekh ke yaar,False,True,0.7369,Positive
"aaj college ka haan bilkul, tum jo decide karo bhai",True,False,0.9779,Neutral
yaar assignment ka deadline kab hai 👍,False,True,0.7976,Neutral
yaar report abhi ready nahi hai,False,True,0.9939,Neutral
dekho hostel ke room mein payment abhi pending hai 😅,False,True,0.5759,Neutral
acha aaj library mein milte hain 😂,False,True,0.761,Neutral
"yaar thanks yaar, problem solve ho gayi family ke saath 😂",False,True,0.9358,Positive
dekho aaj bahut traffic tha meeting mein bas,False,True,0.5871,Negative
"yaar party cancel ho gayi, mood off hai hostel mein bhai",False,True,0.7222,Negative
"Tu five minute bolke aadhe ghante baad aaya, impressive consistency hai teri 😂",True,False,0.5478,Negative
Sir ne bola easy question hai aur paper dekhte hi meri rooh nikal gayi 😭,True,False,0.993,Negative
"Waah, tumne toh group ka kaam itni efficiently kiya ki pura ka pura mere upar aa gaya 🙃",True,False,0.9477,Negative
Attendance bachane ka tumhara masterplan dekh ke university bhi resign kar de 😂,True,False,0.9878,Negative
"Finally usne reply kiya, mujhe toh laga message museum mein rakh diya hai 😭",True,False,0.9879,Negative
Tumhari explanation sunke question se zyada tum khud confused lag rahe the 😂,True,False,0.8922,Negative
"Waah bhai, deadline se do ghante pehle kaam start karna bhi ek talent hai 😭",True,False,0.9956,Negative
"Tu bas bolta reh ki aa raha hu, hum bhi maan lete hain 😌",True,False,0.9961,Negative
"Bahut badhiya, printer ne exactly submission ke din kaam karna choose nahi kiya 💀",True,False,0.8777,Negative
"Tere confidence ko dekh ke lag raha tha topper hai, marks dekh ke reality check ho gaya 😂",True,False,0.95,Negative
"Waah, ek aur meeting! Jaise humare paas aur koi kaam hi nahi hai 😭",True,False,0.9647,Negative
Mai thodi der mein room pe aa jaungi,False,True,0.9877,Neutral
"Waah, tumne password phir guess se enter kiya aur account lock kar diya 🙃",True,False,0.7618,Negative
"Presentation ke time laptop update hona hi baaki tha, perfect moment 💀",True,False,0.8957,Negative
"Accha hai, tum logon ne mujhe bataya warna main bina reason ke wait karti rehti 😂",True,False,0.9437,Negative
"Great, ab assignment ke saath handwritten file bhi chahiye. Kya hi life hai 😭",True,False,0.6006,Negative
"Tu jab bolta hai ""bas ek minute"", tab mujhe automatically half an hour assume karna chahiye 😂",True,False,0.7593,Negative
"Kal morning mein jaldi nikalna hai, alarm laga lena",False,True,0.5028,Neutral
Deadline kal hai aur hum abhi decide kar rahe hain title kya rakhein 😂,True,False,0.9699,Negative
"Test mein wohi question aa gaya jo maine skip kiya tha, universe personally mere against hai 😭",True,False,0.5823,Negative
"Sir ne bola ""last five minutes"" aur phir aadha ghanta aur padha diya 😭",True,False,0.9387,Negative
Kal tum log kis time mil rahe ho?,False,True,0.9796,Neutral
Group ka sabse active member wahi hai jo deadline ke baad online aata hai 😂,True,False,0.9629,Negative
"Kal mera viva hai, thoda nervous hu",False,True,0.8701,Negative
Presentation mein mic ne bhi decide kar liya ki aaj cooperate nahi karna 😂,True,False,0.9567,Negative
Hostel mein aaj itna shor hai ki padhai ke saath DJ night bhi free mil rahi hai 😭,True,False,0.9004,Negative
"Waah, tumne toh pura plan bana liya bina kisi ko bataye. Teamwork zindabad 😂",True,False,0.9891,Negative
"Bilkul perfect, ab sirf internet, laptop aur printer teenon ka ek saath kharab hona baaki hai 💀",True,False,0.9388,Negative
"library pe basic info bhi clear nahi thi, kaafi confusion hua 🤦 — sach mein.",False,True,0.7677,Negative
"Kya smooth process hai, har step pe ek naya surprise mil raha hai yaar 😌",True,False,0.6213,Positive
Aaj submission mein ek extra step add hua hai 😅 — sach mein.,False,True,0.8432,Neutral
"Perfect, meeting ka time sabko alag-alag pata tha 🤔",True,False,0.8547,Neutral
"Amazing, ab ek chhoti mistake fix karne ke liye poora kaam repeat karo 🙄",True,False,0.5491,Negative
colleague ka suggestion genuinely kaafi useful nikla 😌 — sach mein.,False,True,0.5875,Positive
Notifications ne beech mein aake pura concentration tod diya 🙄 😅,False,True,0.9148,Negative
"Excellent planning, location ka exact address event start hone pe mila 🙂",True,False,0.9875,Neutral
"Amazing timing, free hote hi naya urgent kaam aa gaya 🌻 — sach mein.",True,False,0.7589,Positive
"Great, notes phir se wahi issue de raha hai, consistency toh hai 😵‍💫 😅",True,False,0.8679,Negative
Aaj submission mein ek extra step add hua hai 🙂 — sach mein.,False,True,0.8521,Neutral
classroom ka timing weekend pe thoda different hai 🤔 — sach mein.,False,True,0.6399,Neutral
"Perfect, meeting ka time sabko alag-alag pata tha 🫠 — sach mein.",True,False,0.9684,Neutral
"Excellent coordination, sabko alag information mili ✨",True,False,0.9858,Positive
"Last moment pe plan change hua, but better hi nikla 💛 — literally.",False,True,0.9371,Positive
"submission finally sort ho gaya, ab thoda sukoon hai ✨",False,True,0.983,Positive
"Last moment pe plan change hua, but better hi nikla 💛 — sach mein.",False,True,0.918,Positive
"Same mistake phir repeat hui, ab explain karne ka mood nahi hai yaar 😑 — sach mein.",False,True,0.5209,Negative
"Kya detailed instructions hain, confusion bhi ab organized lag raha hai 😅",True,False,0.657,Neutral
"Chhoti progress hai, but submission ab manageable lag raha hai ✨",False,True,0.5933,Positive
Maine submission ka updated version group mein bhej diya hai 📌 — sach mein.,False,True,0.8531,Neutral
"Nice, teen baar samjhane ke baad bhi same confusion wapas aa gaya 😑",True,False,0.9946,Negative
"Badiya system hai, simple kaam ko bhi mini project bana diya 💛 — sach mein.",True,False,0.9807,Positive
junior ka 'abhi aata hoon' sunke ab wait karna hobby lag raha hai 😌,True,False,0.9979,Positive
junior ka 'abhi aata hoon' sunke ab wait karna hobby lag raha hai 😌 — sach mein.,True,False,0.997,Positive
"Great, notes phir se wahi issue de raha hai, consistency toh hai 😵‍💫 — sach mein.",True,False,0.7253,Negative
junior ka 'abhi aata hoon' sunke ab wait karna hobby lag raha hai ✨,True,False,0.9989,Positive
"submission finally sort ho gaya, ab thoda sukoon hai 😌",False,True,0.9549,Positive
"Amazing coordination, group mein message dekh ke bhi kisi ko kuch pata nahi 😅 — sach mein.",True,False,0.9031,Neutral
"Chhoti progress hai, but submission ab manageable lag raha hai 😌 😅",False,True,0.6765,Positive
"Amazing coordination, group mein message dekh ke bhi kisi ko kuch pata nahi 🙂",True,False,0.9954,Neutral
"Kya clarity hai, abhi tak decide hi nahi hua ki decide kya karna hai 🙂",True,False,0.9722,Neutral
"Nice, notes ka reminder tab aaya jab kaam already ho chuka tha 😊",True,False,0.9655,Positive
"Chhoti progress hai, but submission ab manageable lag raha hai 🌻 — sach mein.",False,True,0.9171,Positive
"Nice, teen baar samjhane ke baad bhi same confusion wapas aa gaya 🥲 — sach mein.",True,False,0.9644,Negative
"submission finally sort ho gaya, ab thoda sukoon hai 😌 — sach mein.",False,True,0.9624,Positive
hostel mein aaj kaam surprisingly smooth raha 😊 — sach mein.,False,True,0.7508,Positive
"Badiya system hai, simple kaam ko bhi mini project bana diya 💛",True,False,0.9969,Positive
"Amazing coordination, group mein message dekh ke bhi kisi ko kuch pata nahi 🙂 😅",True,False,0.9062,Neutral
"Perfect, jab zarurat thi tab network ne bhi chhutti le li 🙄",True,False,0.9477,Negative
"library pe basic info bhi clear nahi thi, kaafi confusion hua 🙄 — sach mein.",False,True,0.6617,Negative
"Chhoti progress hai, but submission ab manageable lag raha hai 😌 — sach mein.",False,True,0.9032,Positive
"Kya zabardast planning thi, backup plan bhi fail ho gaya 😵‍💫",True,False,0.6217,Negative
submission ke chakkar mein poora schedule disturb ho gaya 🙄 — literally.,False,True,0.6465,Negative
