message,actual_sentiment,predicted_sentiment,sentiment_confidence,actual_sarcasm,predicted_sarcasm,sarcasm_confidence
"गलत बात है,कुछ खाया पिया करो।",Positive,Negative,0.9924,False,True,0.9997
Khane pine ki zarurat nahi hai,Negative,Neutral,0.9053,True,False,0.9985
Mai anjali ki behen patanjali hu @⁨Unknown user⁩,Neutral,Neutral,0.7399,True,False,0.8357
No one welcomed me😞🥹😞🤬😡,Negative,Negative,0.9959,False,True,0.9794
Bhaiii ❤️‍🔥 greatest comeback to point in the history ❤️‍🔥❤️‍🔥🔥🔥,Positive,Positive,0.9983,True,False,0.7364
Aise manipulative cheeze mai hi karti hu :),Negative,Positive,0.9971,True,False,0.9953
Meri mummy teri mummy ko call ki,Neutral,Positive,0.6828,False,False,0.9985
Aunty ko bolna zyada khana na pack kare,Neutral,Negative,0.7068,False,False,0.9989
Subject hi to pach rahi hu,Negative,Negative,0.8189,True,False,0.9918
Chal chal nikal🥴,Negative,Neutral,0.7424,False,False,0.993
im not gonna think about it tho hopefully 😭,Neutral,Negative,0.9121,False,True,0.9485
usse shayad long weekday chahiye tha (long weekend bahut door hai) 😭😂,Neutral,Negative,0.9819,True,False,0.9384
Chahiye kya abhi tujhe,Neutral,Negative,0.9543,False,False,0.997
Kyu tension le raha hai,Neutral,Negative,0.9894,False,False,0.6918
Uski attendance 100% se kam ho jaayegi,Negative,Positive,0.7664,True,False,0.9981
Never thought I would sleep in an economics class,Negative,Neutral,0.9822,True,True,0.9992
"Bro should stawph teaching, join bjp atp and promote Vimal there",Negative,Neutral,0.9337,True,True,0.9992
Inglisss bhi Modi jesi haii🤓🤓,Negative,Positive,0.9935,True,False,0.9964
Itna formal kyu bol raha hai 😂,Neutral,Negative,0.9962,True,False,0.9727
Bhai marks ka i dont care but argument toh wrong mat do 😂,Negative,Negative,0.9865,False,True,0.6923
Victim blaming is what indians are good at doing 👄💅,Negative,Positive,0.9654,True,True,0.9961
Aadhe ghante tak wahi boli... Thode se bewakoof ho kya ashutosh bhai,Negative,Negative,0.9925,True,False,0.9989
Ye baat sir ko bolni chajye thi n bhai,Neutral,Positive,0.5799,False,False,0.9991
Aaj bohot jaldi aa gaye,Negative,Positive,0.9966,True,False,0.9987
It's too hot outside,Neutral,Negative,0.5118,False,True,0.8236
Surveying ke,Neutral,Neutral,0.9944,False,True,0.8911
Tutorial hi nhi diya ki questions hi nhi hai tumhare paas??,Neutral,Negative,0.6869,False,False,0.9972
Bhai Teri aankho ke paani ke wajah se hi baarish ho rhi hai 😂,Positive,Negative,0.9689,True,False,0.9861
Isliye meet ka time badalna pada,Neutral,Neutral,0.982,True,False,0.9983
😂😂Arre,Positive,Negative,0.9854,False,True,0.9724
Tu sun ki tarah chamak rha tha isliye aankhe band kar li,Negative,Negative,0.9431,True,False,0.9993
Lanka laga de😂,Positive,Negative,0.8649,False,False,0.9232
Nhi aayenge,Negative,Negative,0.9034,False,True,0.6402
Ab jo bhi aa rahe hai laptop lekar aana,Neutral,Positive,0.7563,False,False,0.9988
Agar village visit me log bohot Kam jaate hai ya postponed hoti hai toh,Neutral,Negative,0.9855,False,False,0.9988
Bohot jaldi nahi ho jayega,Neutral,Positive,0.9667,False,True,0.9774
Add one more option,Neutral,Neutral,0.8638,False,True,0.9957
Kya yh celebration deserve krta hai,Neutral,Negative,0.6992,False,True,0.592
Abe sab ajana likhte hai,Neutral,Positive,0.9953,False,True,0.6329
Koi saath chal rha ho to main jane ko ready hu,Positive,Neutral,0.8547,False,False,0.9991
Makasad pura Krna h toh ek bhi clue bachna nhi chahiye 🙂🙂😂,Negative,Negative,0.9773,True,False,0.9838
Nahi ana chahiye,Negative,Neutral,0.724,False,True,0.986
Tujhse na ho payega chorde tu,Negative,Negative,0.9826,True,False,0.9916
Ok sir,Neutral,Positive,0.5034,False,True,0.7074
"Shuruwat hi cancellation se, kya baat hai😂",Negative,Negative,0.9904,True,False,0.5698
"Bhai sahab ko yahi aata hai, kaam toh ho nhi rha inse",Negative,Negative,0.9749,True,False,0.999
Agle tenure mai video se hi kaam chalayenge,Negative,Positive,0.9627,True,False,0.999
Yeh sab kya chal raha hai,Neutral,Negative,0.9898,False,False,0.9978
I said shree ram saw not me,Neutral,Neutral,0.4836,False,True,0.9963
Phir kaha aise seniors milenge jinki sledging karnw mein maza ata hein😂,Positive,Positive,0.6495,True,False,0.9939
Mujhe nahi marenge pyaare seniors hein,Positive,Negative,0.6062,True,False,0.9799
yeh jagah aur idhar ke log we remember,Neutral,Positive,0.9982,True,False,0.999
Amusement park me hun ... aagy bs,Positive,Positive,0.9927,False,True,0.9806
Bring your personal laptop for the test,Neutral,Neutral,0.9104,False,True,0.9327
It is for TODAY only,Neutral,Neutral,0.8475,False,True,0.9994
Congratulations 👏,Positive,Positive,0.9984,False,True,0.7653
To all the girls. Its a great opportunity. Dont miss this please,Positive,Positive,0.9979,False,True,0.8246
"Only 14 girls from your batch are interested in Nvidia , may i know the reason why others weren't?",Neutral,Neutral,0.9973,False,True,0.999
2 baar bol chuke bhai lekin vo unka natural state hai vapis usi me aajate hai 😭,Negative,Negative,0.9879,True,False,0.9962
Ye poll shuru se itna balanced kaise hai 💀,Neutral,Negative,0.9718,True,False,0.986
There is no OOPs class this week right ?,Neutral,Neutral,0.998,False,True,0.9982
and we will focus on only software wli problems,Neutral,Neutral,0.8581,False,True,0.9992
I am personally more attracted towards smart education,Positive,Neutral,0.6227,False,True,0.9988
who wants to be team leader?,Neutral,Neutral,0.9677,False,True,0.8945
Kuch bhi rakh de chatgpt karke.. waise bhi meri choice bahot buri hoti hai🥲,Negative,Negative,0.9943,True,False,0.9956
Aree Aree bhai meri bhi esi hi choice h,Neutral,Positive,0.9671,True,False,0.999
Haan achchaa haiii,Positive,Positive,0.9987,False,True,0.9985
ohh phir to achha h,Positive,Positive,0.9971,False,True,0.8795
Nahi nahi.. cancel ho gaya,Negative,Negative,0.9968,False,True,0.7623
sb free honge n ?,Neutral,Neutral,0.9878,False,True,0.9825
Everybody come fast!!!,Positive,Positive,0.9961,False,True,0.794
Han to bandh kar do .,Neutral,Negative,0.9962,False,False,0.9939
Muje to nahi aana,Negative,Negative,0.9901,False,True,0.9299
Haan me bhi room ke bahar hi hu😭😭,Neutral,Negative,0.9078,False,True,0.7595
Abhi banate hai ppt,Neutral,Positive,0.7548,False,False,0.9961
but still if you guys wanna know,Neutral,Neutral,0.8442,False,True,0.9827
Ohh haa sahi haii,Positive,Positive,0.9974,False,True,0.9525
I am free anytime today,Positive,Positive,0.6993,False,True,0.7886
aree yrr sorry,Negative,Negative,0.9918,False,True,0.8827
i was sleeping without alarm,Neutral,Positive,0.9965,False,True,0.9991
Koi nahi aaja,Positive,Negative,0.9948,False,True,0.8143
ha bss ayi 2 min,Neutral,Positive,0.9947,False,True,0.9906
m ati hu 2 min m udhr,Neutral,Neutral,0.4858,False,True,0.865
mess m practice krenge ?,Neutral,Negative,0.887,False,False,0.9485
konse mess m ho ?,Neutral,Neutral,0.9167,False,True,0.8547
We don't use insta🙃🙃,Neutral,Negative,0.6825,True,True,0.9541
Ho gya apna 🥳🥳,Positive,Neutral,0.7858,False,False,0.8364
pta nhi yrr... puchte h kisi se,Neutral,Negative,0.9945,False,False,0.9984
form submitted 👍,Positive,Positive,0.998,False,True,0.8833
They were telling we can do little changes in ppt,Neutral,Neutral,0.9719,False,True,0.9994
and bhut khali khali ppt lg rhi h apni,Negative,Positive,0.9976,False,False,0.9991
Rukk dhundte haii,Neutral,Negative,0.976,False,False,0.9853
Okkkkayyy... that's why may be we need to change..,Neutral,Positive,0.9896,True,True,0.9612
Aapke irade thik nahi lag rahe🌚🌚,Negative,Negative,0.7465,True,False,0.9557
Same goes for you,Neutral,Positive,0.9584,True,True,0.9978
Hamre irade to bahot nek hai..🌝,Positive,Positive,0.9979,True,False,0.9594
Wo to jo 748 m rehta hai unko pata hi hai,Neutral,Neutral,0.9934,True,False,0.9929
Kaha?,Neutral,Neutral,0.8486,False,True,0.9514
Nahi sorry mai bahaar jaake marne wali hu toh....,Negative,Negative,0.9916,True,False,0.9859
Toh chalna padega ready hoke pura,Neutral,Negative,0.6102,False,False,0.5438
Yeh ghar ka grp nhi hai sih ka hai,Neutral,Negative,0.5004,False,False,0.9972
Itni bhi khrab english nhi ki nsm bhi galat likhu🥱,Negative,Negative,0.9913,True,False,0.999
Ye bat gharki he ki ni ata,Negative,Negative,0.9853,True,False,0.9991
Bhai kya banai hai,Negative,Negative,0.8107,True,False,0.9362
Aur kuch zaroori nhi hai,Neutral,Neutral,0.9937,False,True,0.995
Bas pray ki ye select na ho,Negative,Negative,0.832,True,False,0.9961
ho jani chiye re...tumhari wli bhejo tb pray krungi,Positive,Negative,0.99,True,False,0.9992
Where were you till now?,Positive,Neutral,0.9885,False,True,0.995
Kaha mar gayi thi,Negative,Neutral,0.9678,True,False,0.994
I'm getting late for the class yaar,Positive,Negative,0.9456,False,True,0.981
Yaar mai bhi kya karne lag gayi thi 😩,Neutral,Negative,0.9961,False,False,0.9941
"Ha ha, as If I have done pdf in this subject",Negative,Positive,0.995,True,True,0.9995
I Don't know anything yaar,Positive,Negative,0.9501,False,True,0.9482
"Are mai sundar hi hoon, bacchpan se",Neutral,Negative,0.9394,True,False,0.8497
Gum toh hai mere pass,Neutral,Positive,0.9545,True,True,0.9749
Bhagwannnn!,Negative,Positive,0.9985,True,True,0.8775
Ye kand sunne ke baad toh meri mummy bohot pyaar karegi bhai mujhe,Negative,Positive,0.9973,True,False,0.9993
It's pouring cats and dogs outside,Neutral,Neutral,0.964,False,True,0.9954
Me? Mad? I'm the happiest I've ever been,Negative,Positive,0.9982,True,True,0.9971
"Gee, thanks for helping me out there",Negative,Positive,0.9984,True,False,0.56
Jaldi bahar aa,Neutral,Positive,0.9939,False,False,0.959
That is such a pretty skirt 🥰,Positive,Positive,0.9987,False,True,0.9691
"Sorry, wo kal bhul gayi thi send karna",Neutral,Negative,0.9946,False,False,0.9987
acha exam ke baad thodi der baad baat karte hain 😂,Neutral,Positive,0.9901,False,False,0.9601
yaar phir se kaam fail ho gaya 😅,Negative,Negative,0.996,False,True,0.774
I love how confidently you say things you have absolutely no idea about.,Negative,Positive,0.9969,True,True,0.9882
"Koi nahi, galti sabse hoti hai… tumse thodi zyada hoti hai",Negative,Negative,0.9466,True,False,0.9983
Tumhara logic dekh ke calculator bhi confuse ho gaya.,Negative,Negative,0.9895,True,False,0.998
Accha? Tumhe ye ab yaad aaya? Wah kya memory hai!,Negative,Positive,0.9926,True,True,0.9833
Aaj toh meri kismat bhi mujhse competition kar rahi hai 😭,Negative,Negative,0.9816,True,False,0.9971
Tu itna jaldi reply karta hai ki notification dekh ke surprise ho jaati hu 😂,Positive,Negative,0.5265,True,False,0.9387
"Wah, kya memory hai tumhari, birthday bhi yaad nahi raha 😭👏",Negative,Positive,0.9977,True,False,0.6463
"Haan bilkul, tumhari advice follow karke toh meri life set ho gayi 🙂",Negative,Positive,0.998,True,True,0.9935
Tumse help maangna matlab apna kaam double karwana hai 😂,Negative,Negative,0.6987,True,False,0.9924
"Kya zabardast idea tha tumhara, ab poori raat yehi fix karna padega 😑",Negative,Positive,0.9959,True,False,0.9758
Tumhari punctuality dekh ke clock bhi confuse ho jaati hogi 😂,Negative,Negative,0.9848,True,False,0.8413
"Haan haan, tum bas ek minute mein ready ho jao",Neutral,Positive,0.9226,True,True,0.9972
"Wah bhai, kya planning hai, last moment pe hi sab yaad aata hai tumhe 👏🙂",Negative,Positive,0.9958,True,True,0.7916
"Meri battery 2% hai aur charger ghar pe reh gaya, perfect situation hai 😭",Negative,Positive,0.7402,True,True,0.622
"Great, internet bhi abhi hi jaana tha jab assignment submit karna hai 🙂",Negative,Positive,0.9971,True,False,0.9982
Aaj friends ke saath itna hasi ki cheeks hurt kar rahe hain 😂❤️,Positive,Negative,0.8962,False,False,0.9567
main toh tumhe jaanti hi nahi 😌,Negative,Positive,0.9767,True,True,0.8738
Bhikh mangne ka tarika thoda kezual haii 😋,Negative,Positive,0.9972,True,False,0.9978
Jitne ho sake jisse bhi pucho kuch bhi bhejo bas bhejo kiska bf ban raha tha usse baat karo apne aap sentence mil jayenge💀🌚,Neutral,Negative,0.9924,True,False,0.9921
Tab to horny sentences ki barishhh 🌚,Neutral,Negative,0.98,True,False,0.5442
Improper ho sakte hai par sab nhi,Neutral,Negative,0.9326,False,True,0.7938
chalo ladaai karte hai,Neutral,Negative,0.9839,True,False,0.9985
Ha to pata hai,Neutral,Positive,0.6331,False,True,0.9858
woh mood ke hisaab se marks deti hai fs,Negative,Negative,0.6766,True,False,0.8234
Hopefully usne diye ho marks🙃,Neutral,Negative,0.9731,True,True,0.9808
Mene to nahi padhe..,Neutral,Negative,0.9917,False,True,0.7352
Chal chal nikal🥴,Negative,Neutral,0.7424,False,False,0.993
Do ko peeche kyu choda,Negative,Neutral,0.9886,True,False,0.9988
Wo bhi bol de,Neutral,Negative,0.9722,False,False,0.994
Ha project ka kya karna hai,Neutral,Negative,0.536,False,False,0.998
To project ka kab ka mahurat nikale,Neutral,Neutral,0.995,True,False,0.9958
Waise usme banana kya hai?,Neutral,Neutral,0.9856,False,True,0.9975
Nahi mai kar lugi aaj,Positive,Negative,0.9902,False,False,0.9985
Wo meet m aana thoda mushkil hai,Negative,Negative,0.9902,False,True,0.9303
Zaroor aaungi par abhi yeh sir pe depend karta hai,Neutral,Negative,0.9551,False,False,0.999
Meri class chal rhi hai,Neutral,Positive,0.9897,False,False,0.9907
Arey toh unko jaake bolo toh sahi jaldi banaye,Neutral,Positive,0.5742,False,False,0.9592
Kaam wali hun kya?,Negative,Neutral,0.6951,True,True,0.987
Kitne dur ho?,Neutral,Negative,0.6294,False,False,0.5235
Nhi Maine khana kha liya hai,Positive,Neutral,0.9971,False,False,0.9953
Yaar kal ka jo payment tha woh bhi bhej dena mai bhul gyi kitna dena tha,Neutral,Negative,0.9973,False,False,0.9992
Ha ha rakh dungi,Positive,Positive,0.9433,False,True,0.9898
Kaisa gaya,Neutral,Positive,0.8388,False,True,0.9973
Haaaa bas abhi uti hu,Neutral,Positive,0.9859,False,False,0.9951
So gayi kya?,Neutral,Negative,0.9905,False,True,0.9818
Kabke abhi uthi hu,Neutral,Negative,0.8647,False,False,0.9992
M aajau mera bhi wo dena hai,Neutral,Negative,0.9589,False,False,0.9987
Baki jo hai wo tujhe dena hai,Neutral,Negative,0.9276,False,False,0.998
Tu mujhe pay karegi i mean🤣,Positive,Positive,0.9752,True,False,0.9535
Haaa dono baat ka same meaning hai,Neutral,Positive,0.8968,True,False,0.8932
Kal wala payment pratiksha ne kiya tha,Neutral,Negative,0.9626,False,False,0.9991
Project karooo yaaarrrrr,Neutral,Positive,0.9651,False,True,0.571
Bas aise hi kiya,Neutral,Positive,0.7131,False,False,0.9974
Kyu tumhara actor nahi hai sikhane wala.. jo muje msg kar rahi hai?,Neutral,Negative,0.9825,True,False,0.999
M narrator hu,Neutral,Neutral,0.9856,False,True,0.9806
Wo hai don't worry,Positive,Neutral,0.7934,False,True,0.7426
Aree toh baatein karo usse. Ya usko dekho,Neutral,Negative,0.9628,True,False,0.9981
"Bhai meri kismat bhi na, jab zaroorat hoti hai tabhi net band ho jata hai 🙂",Negative,Positive,0.5868,True,False,0.9933
"Wah bhai kya timing hai, exam ke ek din pehle notes mil rahe hain 👏😂",Negative,Positive,0.9682,True,False,0.7745
"Tu aa ja pehle, baaki ka kaam baad mein dekh lenge",Positive,Negative,0.3914,False,False,0.9987
"Mujhe laga aaj kuch productive karungi, phir bed ne bula liya 😭",Negative,Negative,0.9932,True,False,0.9924
"Arey chill kar, itna bhi serious scene nahi hai 😂",Positive,Negative,0.7151,False,False,0.9642
Tumhari advice follow karke ab toh situation aur interesting ho gayi 💀,Negative,Positive,0.9971,True,False,0.9066
"Kya zabardast idea diya hai, ab bas koi isse implement bhi kar de 😭👏",Positive,Negative,0.7268,True,False,0.9776
"Sorry yaar, phone silent pe tha isliye reply late ho gaya 🥲",Neutral,Negative,0.9904,False,True,0.6621
"Wah, tumhari memory toh kamaal ki hai, kal ki baat aaj yaad aa gayi 😂",Negative,Positive,0.5078,True,False,0.7051
Aaj library chalna hai kya? Mereko bhi thoda padhna hai 📚,Neutral,Negative,0.9683,False,False,0.9985
"Haan bilkul, tumhare bina toh ye kaam impossible hi tha 😌😂",Positive,Negative,0.6854,True,True,0.9942
"Tum log enjoy karo, main yaha assignment ke saath relationship mein hu 😭",Negative,Positive,0.6875,True,False,0.9763
Acha toh ab yaad aaya ki kal submission hai? Very nice 😂,Negative,Positive,0.9971,True,True,0.9853
Bas ek coffee mil jaye phir shayad dimaag kaam karne lage ☕😭,Neutral,Negative,0.8437,False,False,0.9957
"Wahhh, aaj toh tumne bina bole kaam kar diya, proud of you 😂👏",Positive,Positive,0.9982,True,False,0.6965
Kal movie dekhne chale? Kaafi time ho gaya sab saath nahi mile,Positive,Negative,0.9742,False,False,0.9991
"Mereko laga traffic kam hoga, Google Maps ne bhi dhokha de diya 🙂",Negative,Negative,0.9848,True,False,0.9989
"Haan haan tum padhai karo, main tumhare liye attendance laga deti hu 😂",Positive,Negative,0.9949,True,True,0.9635
"Finally kaam ho gaya yaarrr, ab jaake sukoon mila 😭🎉",Positive,Positive,0.9959,False,True,0.8647
"Wah bhai, kya timing hai tumhari 😂",Neutral,Positive,0.9919,True,True,0.932
Mujhe 5 minute bolke 2 ghante laga diye 🙃,Negative,Negative,0.9254,True,False,0.9678
Kal movie dekhne chale? 🍿,Neutral,Negative,0.9343,False,False,0.9877
"Haan haan, tum toh bahut time ke punctual ho 😂",Neutral,Positive,0.993,True,True,0.9972
"Kya amazing internet hai, ek message bhejne mein 10 min lag rahe hain 🙂",Negative,Positive,0.9978,True,True,0.942
Tumhare bina toh group bilkul shaant rehta hai 😂,Neutral,Positive,0.833,True,False,0.5734
Finally assignment submit ho gaya 🥳,Positive,Positive,0.9902,False,True,0.9907
Bhai kitni baar same cheez samjhau 😑,Negative,Neutral,0.785,False,False,0.9984
"Kal milte hain, aaj thoda busy hu yaar 😅",Neutral,Negative,0.9554,False,False,0.9583
bhut dino baad yaad kiya,Positive,Positive,0.7823,True,False,0.9986
have u completed the dbms assignment?,Neutral,Neutral,0.9935,False,True,0.9976
Congo bro 🎊🎉,Positive,Positive,0.9929,False,True,0.9914
Nhi aaj attendance hui,Positive,Neutral,0.9717,False,True,0.8299
No one can use if you are useless,Negative,Neutral,0.5428,False,True,0.9988
If your enemy can predict your next move then don't move😌,Neutral,Negative,0.813,False,True,0.996
You can't guess my strategy cause i don't have one🙂‍↔️,Neutral,Positive,0.9787,True,True,0.9934
"bhai, tu toh world's best driver hai, roz gaadi thokta hai",Neutral,Positive,0.969,True,False,0.9599
Mai ghr ja rhi hu🥹,Positive,Neutral,0.9729,False,False,0.9713
College mai attu zaattu logo ke sath mai nhi ghumti 😏,Negative,Positive,0.5331,True,False,0.9948
Khana khaya lekin mess ka ghr ka nhi😁,Negative,Neutral,0.9768,True,False,0.991
Iam going to my homeeee,Positive,Positive,0.9951,False,True,0.9969
All the best guyzzz,Positive,Positive,0.9986,False,True,0.9904
Fallen to rise,Positive,Neutral,0.6032,False,True,0.9981
Happy Independence Day,Positive,Positive,0.9959,False,True,0.7523
Kya mess mai food bhi kathehai tum log?,Positive,Neutral,0.9706,True,False,0.9973
Arey bhai thu tho topper hai bhol ke mere exams ke preparation karaab kar diya usne,Negative,Positive,0.9438,True,False,0.9992
Ye sab kyu karna hai bhaii😭mereko ghar jana hai😭😭,Neutral,Negative,0.993,False,False,0.9959
Mene to hastin ko admin banaya tha bhai nikal deta,Neutral,Negative,0.996,False,False,0.9992
"Yaar ye professor ka attendance system dekho, kitna accurate hai 😂",Negative,Neutral,0.7632,True,False,0.9278
Arrey yaar mera phone charge hi nahi ho rha 😩,Negative,Negative,0.9703,False,True,0.9316
Hostel mein wifi ki speed dekhi hai? Ferrari se bhi tez 🙃,Negative,Neutral,0.9141,True,False,0.9742
Tumhare notes kitne organized hain yaar 😌,Negative,Positive,0.9965,True,False,0.9291
Library mein jagah mil gayi miracle!,Positive,Positive,0.9915,False,True,0.9989
Delhi mein pollution level normal hai aaj 🤡,Negative,Neutral,0.6359,True,False,0.6194
Room cleaning ka fine bhara hai maine 😭,Negative,Positive,0.8365,False,False,0.9916
Warden uncle ki timing sense bilkul perfect hai 😂,Negative,Positive,0.9946,True,True,0.9803
Shopkeeper ne kitni reasonable price di thi 🥲,Negative,Positive,0.9787,True,False,0.981
Auto wale bhaiya ne meter on kiya wow 😭💀,Negative,Negative,0.9851,True,False,0.9608
Yaar assignment extension mil gaya professor se,Positive,Neutral,0.9904,False,False,0.9843
Group project mein sabne equally contribute kiya hai 😌,Negative,Positive,0.9985,True,False,0.9371
Kal early morning class hai 8 baje 😭,Negative,Neutral,0.8316,False,False,0.9656
Placement cell ki guidance dekhi hai kitni helpful hai 🙃,Negative,Positive,0.9542,True,False,0.9594
Mess uncle ne extra sabzi de di aaj,Positive,Positive,0.9237,False,True,0.997
Weekend plans cancel ho gaye rain ki wajah se,Neutral,Negative,0.9934,False,False,0.9975
College ka AC system kitna efficient hai summer mein 🔥,Negative,Positive,0.9361,True,False,0.9756
Yaar movie tickets book kar li aaj wali show ki,Neutral,Negative,0.5435,False,False,0.9991
Professor ne exactly on time class start kiya 😏,Negative,Neutral,0.9937,True,False,0.7554
Metro mein seat mil gayi rush hour mein,Positive,Neutral,0.9293,False,True,0.937
Canteen ka uncle ne bill mein discount de diya,Positive,Neutral,0.9683,False,False,0.9579
Yaar phone ki battery life dekho kitni amazing hai 😌,Negative,Positive,0.9976,True,False,0.9567
College ka placement record iss saal dekho 🙃,Negative,Negative,0.9439,True,False,0.8264
ATM mein cash available tha month end mein miracle 😂,Negative,Positive,0.6009,True,True,0.9818
Hostel ka security guard kitna alert rehta hai raat mein 💀,Negative,Positive,0.7688,True,False,0.6682
College ka infrastructure dekho kitna world class hai 🥲,Negative,Positive,0.9862,True,False,0.9268
"Yaar aaj lecture bunk karte hai, mann nahi kar rha jaane ka",Neutral,Negative,0.9776,False,False,0.9993
"Wah professor, itni jaldi result nikal diya aapne, sirf 2 mahine lagaye 👏",Negative,Positive,0.9984,True,False,0.996
"Mess mein aaj paneer tha, itna acha laga khake 😭😭",Negative,Positive,0.9917,False,False,0.987
Bhai teri presentation dekh ke laga tune raat bhar prepare ki thi 😏,Negative,Negative,0.8624,True,False,0.9957
Kitna acha laga na jab wifi hostel mein band ho gaya exam ke time pe 😌,Negative,Negative,0.9796,True,False,0.9591
"Arre suna maine, tera birthday aane wala h, plan kya h?",Neutral,Negative,0.9491,False,True,0.7724
Itni acchi attendance h meri ki professor bhi pehchanta nahi mujhe 😂,Negative,Positive,0.9977,True,False,0.993
"Wah kya organized group chat h ye, 300 messages aur ek bhi kaam ka nahi 🙃",Negative,Negative,0.9828,True,False,0.994
Kal exam h aur mujhe abhi tak syllabus nahi pata 😭,Negative,Positive,0.6816,False,False,0.9961
"Group project mein sirf mai kaam kr rha hu, baaki sab 'busy' hai apparently",Negative,Neutral,0.7712,True,False,0.742
"Haan bilkul, roommate ne bhi utna hi kaam kiya jitna maine socha tha 😌",Negative,Positive,0.9377,True,True,0.8537
"Bhai teri gaadi ka horn itna soft h, pura mohalla sunta h 😂",Negative,Positive,0.894,True,False,0.9928
"Kal shopping jaana h, kuch naya lena h function ke liye",Neutral,Negative,0.6627,False,False,0.9988
"Wah teacher, extension diya assignment ke liye, bahut generous ho aap 👏",Negative,Positive,0.9985,True,True,0.5598
"Itna sunder handwriting h teri, doctor ban sakta h tu 😏",Negative,Negative,0.9949,True,False,0.5776
"Aaj mess mein khana time pe mil gaya, chamatkar ho gaya",Positive,Neutral,0.9924,True,False,0.9983
Bhai tu late aaya but itna calm h jaise pura din free tha 😂,Negative,Negative,0.8388,True,False,0.9781
"Group mein sabne plan cancel kar diya last moment pe, kitna reliable h sab 🙃",Negative,Negative,0.9759,True,False,0.9792
"Mtlb kya baat h, first time tune assignment time pe submit kiya 😏",Negative,Neutral,0.4573,True,False,0.9607
